a_cid,b_cid,a_size,b_size,fuzz,merge,confidence,reason
846,13017,2,2,100.0,YES,0.95,"Both clusters describe Tropicana Pure Smooth Orange juice at 1500ml. Minor naming variations ('Pure Smooth' vs 'Smooth', 'Fruit Juice' descriptor) are inconsequ"
863,13083,2,2,78.57142857142857,NO,0.95,"Different brands and flavours. Cluster A is own-brand apple/pear juice drinks (ASDA, Morrisons). Cluster B is Shloer branded elderflower & white grape sparkling"
2189,11815,2,2,60.0,NO,0.98,Different brands (Bacardí vs Morton's OVD) and different rum varieties (Carta Blanca white rum vs OVD dark rum). These are distinct core products.
863,13152,2,2,100.0,NO,0.95,"Different brands (ASDA/Morrisons own-brand vs Fruit Shoot), different flavours (Apple & Pear/Apple vs Apple & Blackcurrant), different volumes (750ml vs 800ml),"
2200,10728,2,2,66.66666666666666,NO,0.95,"Different brands: Cluster A contains ASDA/own-brand triple distilled vodka, while Cluster B contains Sobieski and Fris branded vodkas. These are distinct produc"
2220,10953,2,2,62.5,NO,0.95,Different brands (JJ Whitley vs Glen's) and different varieties (Pink Lemonade flavoured vodka mix vs plain vodka). JJ Whitley is a flavoured spirit drink; Glen
862,13152,2,2,94.44444444444444,NO,0.95,"Different brands (ASDA/Morrisons own-brand vs Fruit Shoot), different volumes (750ml vs 800ml), different pack formats (cartons vs 4x200ml multipacks), differen"
883,13034,2,2,86.27450980392157,NO,0.95,"Different juice types: Cluster A is orange juice from concentrate; Cluster B is pink grapefruit juice, not from concentrate. Different varieties and processing "
848,11466,2,2,75.0,NO,0.95,"Different flavour varieties: Cluster A is Cranberry & Raspberry, Cluster B contains Cranberry (Morrison's) and Blueberry (Tesco). The flavours do not match acro"
821,11519,2,2,92.06349206349206,NO,0.95,"Cluster A contains 'Juice Drink' / 'Juice' products, while Cluster B contains 'Fruit Water' - these are different product types with different formulations and "
2395,11006,2,2,81.81818181818181,NO,0.95,Different brands and varieties. Cluster A contains own-brand blended malt scotches (ASDA and Sainsbury's); Cluster B contains Tamnavulin branded single malt she
2412,13391,2,2,70.58823529411765,NO,0.95,"Different products: Cluster A is Fino Sherry (wine fortified), Cluster B is Brandy in sherry cask (brandy spirit). Different varieties and different brands (ASD"
2455,10717,2,2,100.0,NO,0.95,"Different brands: Cluster A is Trapiche (branded wine), Cluster B is own-brand house Malbec from Morrisons/Sainsbury's. Same variety and volume but different co"
2426,10705,2,2,100.0,NO,0.95,"Cluster A is Barefoot Merlot (branded product), Cluster B is own-brand merlot from Morrisons/Sainsbury's. Different brands mean different core products."
2468,10705,2,2,100.0,NO,0.95,Cluster A is branded Apothic Merlot; Cluster B contains own-brand Merlot (Morrisons and Sainsbury's house brands). Different brands = different core products.
883,13033,2,2,70.96774193548387,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2281,10728,2,2,66.66666666666666,NO,0.99,"Different brands: Cluster A is Nemiroff (De Luxe Premium variant), Cluster B contains Sobieski and Fris (two different brands). Same volume (1000ml) does not ov"
2189,10935,2,2,75.86206896551724,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
1881,11512,2,2,86.36363636363636,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2225,10934,2,2,100.0,YES,0.95,"Both clusters describe Malibu Original in 1000ml format. Cluster A uses abbreviated descriptions ('Liqueur', 'Original') while Cluster B provides fuller descrip"
2378,10996,2,2,83.63636363636364,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2290,10953,2,2,62.5,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2476,13139,2,2,68.0,NO,0.95,Different brands (McGuigan vs Sainsbury's/Tesco own-brand) and different regional origins (not specified vs Barossa/West Australian). McGuigan Zero is a specifi
2395,11011,2,2,81.81818181818181,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2502,13227,2,2,60.60606060606061,NO,0.99,"Different brands (Holsten Pils vs Asahi Super Dry), different varieties/flavours, different volumes (1750ml vs 1980ml), different pack formats (single bottle vs"
2426,10681,2,2,100.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2386,10950,2,2,60.60606060606061,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2532,10681,2,2,62.22222222222222,NO,0.95,"Different wine varieties: Cluster A contains Pinot Grigio (white wine), Cluster B contains Merlot and Malbec (red wines). Same brand and volume, but different c"
2395,11026,2,2,81.81818181818181,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2395,11032,2,2,81.81818181818181,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2412,13313,2,2,70.58823529411765,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2426,10828,2,2,78.57142857142857,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2555,10873,2,2,66.66666666666666,NO,0.95,Different brands (ASDA/Sainsbury's own-brand vs Compton Orchard) and different variety/flavour (Original/Original Dry vs Medium Dry). These are distinct product
2465,13139,2,2,60.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2570,10751,2,2,100.0,NO,0.95,Cluster A is Barefoot brand (named producer); Cluster B is own-brand (Morrisons/Sainsbury's house label). Different brands mean different core products.
2532,10828,2,2,76.19047619047619,NO,0.95,"Different varieties: Cluster A is Pinot Grigio (white wine), Cluster B is Rosé (pink wine). Same brand and volume, but different core products."
2473,10705,2,2,100.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2578,10828,2,2,76.19047619047619,NO,0.99,"Different wine varieties: Cluster A is Sauvignon Blanc (white wine) while Cluster B is Rose (rosé wine). Same brand and volume, but variety/flavour differs."
2539,10681,2,2,66.66666666666666,NO,0.99,"Different wine varieties: Cluster A is Pink Moscato (white/rosé), Cluster B contains Merlot and Malbec (red wines). These are distinct products."
2468,10973,2,2,60.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2485,10800,2,2,74.07407407407408,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2573,10789,2,2,100.0,YES,0.95,"Both clusters describe identical core product: Casillero del Diablo Pinot Grigio, 750ml, single bottle. Minor description variations ('White Wine' label in B) a"
2502,13302,2,2,74.07407407407408,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2502,13235,2,2,60.60606060606061,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2579,10751,2,2,66.66666666666666,NO,0.99,"Different wine varieties: Cluster A is Sauvignon Semillon (white blend), Cluster B is Cabernet Sauvignon (red). Different core products."
2502,13118,2,2,71.11111111111111,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2539,10828,2,2,76.19047619047619,NO,0.95,"Different varieties: 'Pink Moscato' vs 'Rose' are distinct wine styles/flavors. Pink Moscato is a sweet, sparkling white wine; Rose is a dry still rosé wine."
2538,13073,2,2,82.75862068965517,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
7312,10994,2,2,70.0,NO,0.95,"Different brands: Cluster A is Nicolas Feuillatte (named brand), Cluster B is own-brand (Morrisons/Tesco). Different core products despite both being Premier Cr"
2538,13065,2,2,82.75862068965517,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2538,13067,2,2,82.75862068965517,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2570,10828,2,2,76.19047619047619,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
6316,12006,2,2,64.86486486486487,NO,0.99,Different brands: Hell Energy vs Red Bull. Different varieties: Classic vs Zero. Same volume (250ml) is insufficient to merge when brand and flavour differ.
2570,10681,2,2,66.66666666666666,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
7524,13368,2,2,60.714285714285715,NO,0.99,"Different wine varieties: Cluster A is Sauvignon Blanc (white wine), Cluster B is Cabernet Sauvignon (red wine). Different core products despite same volume."
6312,11523,2,2,74.50980392156863,NO,0.95,"Cluster A contains 'Juice Drink Cartons 6x250ml' (pack format specified), while Cluster B contains 'Concentrated Blackcurrant 1.5L' (concentrate product, not re"
7510,10681,2,2,66.66666666666666,NO,0.95,"Different wine varieties: Cluster A contains Moscato (white/pink wine), Cluster B contains Merlot and Malbec (red wines). Same brand and volume, but different c"
2578,10751,2,2,66.66666666666666,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
2641,10828,2,2,61.53846153846154,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
7539,13067,2,2,80.0,NO,0.95,"Different varieties: Cluster A is alcohol-free Pinot Grigio, Cluster B is Pinot Grigio Blush (rosé style). These are fundamentally different products despite bo"
3833,11986,2,2,73.46938775510205,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3822,13373,2,2,85.29411764705883,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
6279,11523,2,2,74.50980392156863,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
7527,13217,2,2,61.53846153846154,NO,0.95,"Different brands: Cluster A is 'Not Guilty' (alcohol-free rosé), Cluster B is 'Lanson' (traditional rosé wine). Not Guilty is specifically alcohol-free while La"
8279,13232,2,2,63.1578947368421,NO,0.99,"Different brands (ASDA/Morrisons own-brand vs Actiph branded), different variety (peach flavoured sparkling water vs alkaline ionised water), and different core"
6317,12006,2,2,72.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
8209,13410,2,2,61.971830985915496,NO,0.98,Different brands (Buxton Brewery vs Badger Brewery) and different varieties (Axe Edge IPA vs Outland Hazy IPA). These are distinct products despite both being 4
7311,13218,2,2,78.26086956521739,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
6296,13339,2,2,63.492063492063494,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
7508,10697,2,2,100.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
8279,13128,2,2,83.33333333333333,NO,0.99,"Different brands (ASDA/Morrisons own-brand vs Ocean Spray), different flavours (Peach vs Cranberry & Raspberry), different volumes (900ml/1071.4ml vs 1000ml)"
7510,10828,2,2,76.19047619047619,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
7508,11015,2,2,100.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
8367,10750,2,2,100.0,NO,0.95,"Cluster A is 'Wakefield Shiraz Cabernet' (branded blend), Cluster B contains 'Morrisons Shiraz' (own-brand) and 'Sainsbury's House Shiraz' (own-brand). Differen"
7539,13073,2,2,72.34042553191489,NO,0.95,Different brands (Not Guilty vs Yellow Tail) and different product types (alcohol-free vs regular Pinot Grigio). These are distinct core products despite both b
7530,10799,2,2,100.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
13190,8279,2,2,60.0,NO,0.98,"Different brands (J2O vs ASDA/Morrisons own-brand), different flavours (Apple & Elderflower vs Peach), different volumes (1100ml vs 900ml/1071.4ml), different p"
350,9394,2,2,62.5,NO,0.95,"Different core products: Cluster A is mixed leaf salad (no dressing/toppings), Cluster B is Greek salad with feta (prepared salad with ingredients). Different v"
391,9465,2,2,60.869565217391305,NO,0.99,Cluster A contains potatoes; Cluster B contains milk. Completely different product categories.
7539,13065,2,2,69.38775510204081,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
8246,13071,2,2,60.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
8111,10968,2,2,100.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
8279,13063,2,2,83.33333333333333,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
8879,13065,2,2,72.72727272727272,NO,0.95,"Different varieties: Cluster A contains standard Pinot Grigio (white), while Cluster B contains Pinot Grigio Blush (rosé). These are distinct flavour profiles a"
8279,13200,2,2,60.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
8879,13073,2,2,72.72727272727272,NO,0.95,Different brands: Cluster A contains Nice Drop and Morrisons The Best (own-brand); Cluster B contains Yellow Tail. Same variety (Pinot Grigio) and volume (750ml
8766,11970,2,2,86.95652173913044,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
762,9418,2,2,66.66666666666666,NO,0.98,"Different product categories: Cluster A is a soft drink beverage (500ml), Cluster B is a baked tart/pastry product (430-450g). Same lemon flavour is insufficien"
8767,11970,2,2,71.7948717948718,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
10811,2395,2,2,81.81818181818181,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
8767,10681,2,2,64.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
715,9271,2,2,61.53846153846154,NO,0.95,"Different core products: Cluster A is breaded chicken bites, Cluster B is battered cod bites. The protein/flavour is fundamentally different (chicken vs cod), s"
611,9544,2,2,66.66666666666666,NO,0.95,"Different products: Cluster A is Munch Bunch Squashums yogurt; Cluster B is blackcurrant cheesecakes. Different brands, different product categories (yogurt vs."
8879,13067,2,2,80.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
568,14012,2,2,60.0,NO,0.95,"Different brands (McVitie's BN vs Sainsbury's/Tesco own-brand), different products (biscuits vs scones), different weights (160g vs 140g), different pack counts"
13131,2502,2,2,60.60606060606061,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
8367,10751,2,2,61.53846153846154,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3251,13675,2,2,63.63636363636363,NO,0.95,"Different brands (Lancashire Farm vs Fage), different product types (natural yogurt vs Greek recipe strained yogurt), and different weights (1000g vs 950g). The"
377,13609,2,2,61.53846153846154,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3351,9514,2,2,80.64516129032258,NO,0.95,"Different flavour profiles: Cluster A is a multipack with Mango, Strawberry, Kiwi & Apricot variety mix, while Cluster B is Strawberry/Red Fruit only. These are"
582,13812,2,2,68.29268292682927,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3245,13755,2,2,74.07407407407408,NO,0.99,Different product types: Cluster A is yogurt; Cluster B is cheesecake dessert. Different brands (ASDA/Morrisons own-brand vs Gü). Different formats and core pro
715,9407,2,2,63.63636363636363,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
608,9319,2,2,61.53846153846154,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
1818,9473,2,2,100.0,NO,0.95,"Cluster A is Kubus brand multi-fruit juice (apple, banana, peach, carrot) at 850ml. Cluster B contains two different products: Morrisons Savers single-variety a"
759,13797,2,2,66.66666666666666,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3355,9530,2,2,78.57142857142857,NO,0.95,"Cluster A contains 5 specific flavours (Rhubarb, Prune, Fig, Blackberry & Strawberry). Cluster B describes Rhubarb with 'Mixed Fruit' or 'Mixed Fruit' generic d"
2145,13797,2,2,75.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3355,9514,2,2,80.64516129032258,NO,0.95,"Different flavour profiles: Cluster A is a 5-flavour multipack (Rhubarb, Prune, Fig, Blackberry & Strawberry), while Cluster B is a single Strawberry/Red Fruit "
3422,11766,2,2,71.42857142857143,NO,0.99,"Cluster A is Biotiful Gut Health Kids Kefir (branded, drinkable kefir product), while Cluster B is Strawberry Trifles (dessert). Different product categories, d"
2145,13778,2,2,60.869565217391305,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3363,9530,2,2,64.36781609195403,NO,0.95,"Different flavours: Cluster A is Strawberry/Raspberry/Cherry/Blueberry, Cluster B is Rhubarb/Mixed Fruit. Despite similar weights and pack counts, the core prod"
2045,9323,2,2,69.23076923076923,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3245,14012,2,2,74.07407407407408,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3251,13743,2,2,100.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3481,9656,2,2,82.1917808219178,NO,0.95,"Different flavours: Cluster A is White Chocolate & Honeycomb, Cluster B is Vanilla & Lotus. Different weights: A is 214g, B is 210-225g. Different pack counts: "
3317,11766,2,2,71.42857142857143,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3272,11797,2,2,60.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3351,9524,2,2,80.64516129032258,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3529,11570,2,2,63.63636363636363,NO,0.95,Different varieties: Cluster A is plain roast chicken breast fillets; Cluster B is 'Hunters Chicken' (a specific flavored dish). Different pack counts (4 vs 2 f
3355,9524,2,2,80.64516129032258,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3467,9664,2,2,68.9655172413793,NO,0.95,Different brands (Barebells vs Yazoo) and different volumes (330ml vs 300ml). These are distinct products.
3351,9530,2,2,66.66666666666666,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3893,9460,2,2,63.1578947368421,NO,0.95,"Different product types: Cluster A is soft cheese (spread-like), Cluster B is cheese slices (pre-sliced). Different varieties, weights, and pack formats."
3363,9524,2,2,80.64516129032258,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3919,9394,2,2,76.92307692307692,NO,0.95,"Cluster A is Barrel Aged Feta (flavoured/aged variety), while Cluster B is Greek Salad Feta (different product type/preparation). Different core products despit"
3378,13643,2,2,60.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3363,9514,2,2,80.64516129032258,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
5098,11797,2,2,63.768115942028984,NO,0.95,"Different brands (Nomadic vs Morrisons/Sainsbury's), different flavours (Mango Lassi vs Mango Papaya & Passionfruit), different weights (500ml vs 450g), and dif"
5144,9610,2,2,64.15094339622641,NO,0.95,Different brands (Emmi vs Coffee Co/Barista Coffee Co) and different volumes (230ml vs 250ml). Emmi is a Swiss dairy brand; Coffee Co/Barista are distinct brand
3448,13718,2,2,62.745098039215684,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3408,13673,2,2,81.25,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
5225,9564,2,2,63.492063492063494,NO,0.95,Different brands (Califia Farms vs Minor Figures) and different varieties (Original vs Barista Standard). Core products are not identical.
3471,13812,2,2,62.5,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3529,9602,2,2,68.42105263157895,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
5484,13767,2,2,64.70588235294117,NO,0.95,"Different core products: Cluster A is BBQ Chicken Pizza (455-475g), Cluster B is Chicken Ham Hock & Leek Pie (500g). Different product types, flavours, and weig"
3514,9460,2,2,63.1578947368421,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
3505,9488,2,2,64.70588235294117,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
4018,13666,2,2,63.1578947368421,NO,0.99,"Different varieties: Cluster A is Red Thai Infused Salmon, Cluster B is Scampi. Same weight (220g) and brand (Young's) but fundamentally different products."
3588,13696,2,2,70.58823529411765,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
6823,9327,2,2,66.66666666666666,NO,0.95,Cluster A is Chicken Madras (spiced curry). Cluster B contains Chicken & Mushroom Cumberland Pie and Chicken Madeira & Mushroom Rice - different dishes with dif
3945,9460,2,2,63.1578947368421,NO,0.98,"Different core products: Cluster A is vegan/plant-based cheese blocks (280g), Cluster B is dairy cheese slices (250-255g, 15 slices). Different brands (Cathedra"
3966,9580,2,2,63.1578947368421,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
6863,9407,2,2,63.63636363636363,NO,0.95,"Different product types: Cluster A is Chicken Tikka Samosas (4 pack), Cluster B is Chicken Poppers (20 pack). Different varieties, different pack counts, differ"
3989,9460,2,2,63.1578947368421,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
5054,12101,2,2,61.111111111111114,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
5144,9585,2,2,70.27027027027027,NO,0.95,Different brands (Emmi vs Coffee Co) and different volumes (230ml vs 250ml). Both brand and volume must match for core product identity.
4030,13693,2,2,60.0,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
7941,13825,2,2,61.016949152542374,NO,0.95,"Cluster A is raw diced chicken breast (450g), Cluster B is a ready meal with satay sauce and jasmine rice (400g). Different product types, different weights, di"
6851,13825,2,2,68.75,NO,0.95,"Different flavours (Tikka vs Satay), different rice types (Basmati vs Jasmine), different weights (375g vs 400g)"
5484,13810,2,2,64.70588235294117,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
5484,13835,2,2,64.70588235294117,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
5484,13739,2,2,64.70588235294117,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
8014,9384,2,2,62.857142857142854,NO,0.95,"Different core products: Cluster A is beef koftas/kebabs (x6 pack, ~350-360g), Cluster B is chilli & rice dishes (375-400g). Different product types, formats, a"
6804,13788,2,2,60.97560975609756,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
6823,11937,2,2,82.35294117647058,NO,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w"
