ensemble_cluster_id,product_idx,supermarket,source,confidence,reason
2777,26931,Morrisons,llm_r3_retry,0.95,"Linda McCartney brand, Vegetarian Chorizo & Red Pepper Sausages variety, 6 pack, 270g weight matches cluster products from ASDA and Tesco"
8904,57045,Tesco,llm_r3_retry,0.95,"Freixenet Prosecco, 200ml (20cl), same brand and variety as cluster. Minor spelling variation (Freixenent) is likely a typo but core product is identical."
8220,24747,Morrisons,llm_r3_retry,0.95,"Greene King IPA, 2000ml total volume. Matches brand, variety (IPA), and volume of cluster. Pack count (4x500ml) is implicit in 2000ml volume."
8185,40836,Sains,llm_r3_retry,0.95,"Greene King Ice Breaker Pale Ale, 4x440ml pack (1760ml total), matches cluster exactly. Candidate A is the unfiltered variant but same brand, same variety core "
71,22737,Morrisons,llm_r3_retry,0.95,"Clipper brand, organic tea, 80 tea bags, 280g weight matches ASDA listing exactly. 'Fairtrade' is a certification attribute of the same core product variant."
2803,26732,Morrisons,llm_r3_retry,0.95,"Birds Eye brand, Southern Fried Chicken Grills (vegan/chicken-free variety), gluten free, 175g matches ASDA listing exactly. Pack count of 2 aligns with Sainsbu"
2825,45777,Sains,llm_r3_retry,0.95,"Sainsbury's Cinnamon Swirls matches the cluster core product: same variety (cinnamon swirls/rolls), same pack count (4), similar weight range (368g vs 318-375g "
2848,26322,Morrisons,llm_r3_retry,0.95,"Chicago Town Tiger Crust Cheesy Ham & Bacon, 320g - matches brand, variety/flavour, and weight of cluster. Truncated name in listing but core product identical."
8825,52349,Tesco,llm_r3_retry,0.95,"Petits Filous brand, No Added Sugar variety, 6x47g pack (282g total) matches cluster format and weight. Only difference is flavor (Apple Pear & Banana vs Strawb"
4385,35641,Sains,llm_r3_retry,0.95,"KTC Sunflower Oil 1L matches the core product (sunflower oil, 1000ml volume). While KTC is a different brand than the cluster's own-brands, it is a branded sunf"
10574,530,ASDA,llm_r3_retry,0.95,"Options brand, white chocolate variety, 220g size matches cluster exactly. 'Instant' descriptor is minor variation in product form but same core product."
8995,45553,Sains,llm_r3_retry,0.95,"Sainsbury's Indulgence Ice Cream, Mint 4x110ml (440ml total) matches the cluster's core product: mint-flavored ice cream cones, 4-pack, 440ml total. Own-brand e"
1404,61865,Tesco,llm_r3_retry,0.95,"Same brand (Merchant Gourmet), same core product (Glorious Grains with Red Rice & Quinoa), same weight (250g). The cluster shows slight naming variations across"
10478,8425,ASDA,llm_r3_retry,0.95,"Very Lazy Red Chillies brand, 190g size matches cluster. The addition of 'in White Wine Vinegar' is a processing/preservation detail of the same core product va"
1658,58168,Tesco,llm_r3_retry,0.95,"Fibre One brand, Crispy Chocolate Brownies variety, 120g total weight, 5x24g pack count - matches cluster across all attributes"
1749,54720,Tesco,llm_r3_retry,0.95,Van Der Meulen Melba Original Thins 100G matches the core product - melba toast in 100g format. The cluster contains own-brand melba toasts from different super
1817,20233,Morrisons,llm_r3_retry,0.95,"Same brand (Innocent Plus), same variety (Wonder Green Apple & Pear), same volume (750ml). Product name truncation in Morrisons listing is standard practice and"
9900,7646,ASDA,llm_r3_retry,0.95,"Same brand (Baxters), same variety (Cream of Tomato), same weight (400g). Minor text variation ('Soup' omitted in candidate) is likely truncation in product nam"
1859,28025,Morrisons,llm_r3_retry,0.95,"Robinsons brand, Double Strength Lemon, No Added Sugar variant, 1750ml volume matches cluster. Truncated text in candidate name ('No Addded Sugar…') indicates s"
2015,23340,Morrisons,llm_r3_retry,0.95,"Ainsley Harriot Aromatic Thai Chicken matches brand, variety/flavour (Aromatic Thai Chicken & Lemongrass), and weight (69g) of cluster. Text appears truncated b"
9509,9090,ASDA,llm_r3_retry,0.95,Semi-skimmed longlife milk in 1000ml. Own-brand (JUST ESSENTIALS) matches cluster pattern of different supermarket own-brands with identical core product specif
9456,9195,ASDA,llm_r3_retry,0.95,"ASDA Half Fat Crème Fraîche 300ml matches the core product (crème fraîche, 300ml). Different variety (half fat vs. regular), but same weight/volume and unbrande"
9366,12319,ASDA,llm_r3_retry,0.95,"Shepherd's Pie, 400g, own-brand from different supermarket (ASDA). Core product matches cluster exactly - same dish, same weight, same serving format as Morriso"
9320,2618,ASDA,llm_r3_retry,0.95,"ASDA Fragrant & Tasty Tomato Juice 1000ml matches the cluster's core product: tomato juice, 1L/1000ml volume. All three cluster entries are own-brand tomato jui"
9328,12317,ASDA,llm_r3_retry,0.95,"Bistro by ASDA Cottage Pie 400g matches the core product: cottage pie, 400g weight, single serve. All three cluster items are premium own-brand cottage pies fro"
9162,32180,Sains,llm_r3_retry,0.95,"Sainsbury's Desiccated Coconut 250g is desiccated coconut, same core product as cluster. Different weight (250g vs 150-200g) but this is acceptable variation wi"
9071,10872,ASDA,llm_r3_retry,0.95,"ASDA Free From 6 Assorted Jam Tart matches the cluster: free-from/own-brand across all three SMs, 6-pack count, jam tarts variety. Weight slightly different (21"
2892,45645,Sains,llm_r3_retry,0.95,"Same core product: minted/mint lamb quarter pounders, 4-pack, ~450g. Sainsbury's own-brand equivalent to cluster's own-brand products from other SMs. Taste the "
8100,59861,Tesco,llm_r3_retry,0.95,"King Goblin Ale Beer Bottle 500ml matches the cluster's core product. The Hobgoblin brand prefix appears to be the manufacturer/parent brand, while King Goblin "
7999,57536,Tesco,llm_r3_retry,0.95,"Gressingham Duck Breast Portions vs Fillets - both are duck breast cuts from Gressingham brand, 250g weight. 'Fillets' and 'Portions' are synonymous terms for t"
4864,34566,Sains,llm_r3_retry,0.95,"Opies Mini Silverskin Onions is the core product in cluster. Candidate A is Opies Cocktail Onions with Spirit Vinegar 227g - same brand (Opies), same weight (22"
5451,33272,Sains,llm_r3_retry,0.95,"Mr Porky brand, Original variety, 65g weight - matches all cluster criteria. Candidate A adds 'Hand Cooked' descriptor (different variety specification), candid"
3959,17363,Morrisons,llm_r3_retry,0.95,"Applewood brand, vegan cheese alternative, 200g weight. 'Vegan Block' is the product form equivalent to 'Vegan Smoky Cheese Alternative' - same core product, sa"
5090,61090,Tesco,llm_r3_retry,0.95,"Two Chicks Liquid Egg Whites, 500ml volume matches cluster's 500g (liquid egg white density ~1g/ml), same brand, same variety"
4966,34869,Sains,llm_r3_retry,0.95,"Same core product: Hollandaise Sauce Mix, 25g. Sainsbury's own-brand equivalent to Schwartz brand across other supermarkets, same variety and weight."
4948,38013,Sains,llm_r3_retry,0.95,"Maggi brand, Piri Piri flavour, 27g weight. Only difference is 'Air Fryer' variant descriptor, but core product (Maggi Piri Piri 27g) matches cluster."
4938,35266,Sains,llm_r3_retry,0.95,"Same core product (Paella Recipe Mix), same weight (30g), same pack count (1). Different brand (Sainsbury's own-brand vs Schwartz branded), but own-brand equiva"
4923,35216,Sains,llm_r3_retry,0.95,"Same core product (Spaghetti Carbonara Recipe Mix), same weight (32g), same product line (Inspired to Cook is Sainsbury's equivalent to Schwartz brand positioni"
4867,22648,Morrisons,llm_r3_retry,0.95,"Baxters Baby Beetroot 340g matches the cluster's core product (whole baby beetroot in vinegar, 340g size). Different brand from cluster but same variety, weight"
7965,64785,Tesco,llm_r3_retry,0.95,"Tesco Unsmoked Back Bacon Rashers 300G matches the cluster's core product: unsmoked back bacon rashers, 300g weight, own-brand equivalent across different super"
4770,22782,Morrisons,llm_r3_retry,0.95,Saxa So-Low Salt is a reduced sodium salt product (50% less sodium) matching the cluster's core product type. Weight 340g matches ASDA's LoSalt. While different
4776,35239,Sains,llm_r3_retry,0.95,"Sainsbury's Zaatar matches the cluster's za'atar seasoning core product. Same flavour (zaatar/za'atar), same weight category (35g), though different brand/own-l"
4734,23924,Morrisons,llm_r3_retry,0.95,"Bertolli Extra Virgin Olive Oil 500ml matches the cluster's core product (extra virgin olive oil, 500ml volume). While brand differs from cluster's own-brands, "
4685,50533,Tesco,llm_r3_retry,0.95,"Same core product (Ground Allspice), same variety/flavour, similar weight (33g vs 40-45g cluster range), Tesco own-brand matches Sainsbury's/ASDA own-brand patt"
4206,21421,Morrisons,llm_r3_retry,0.95,"Same core product: Tuna Chunks in Sunflower Oil, 145g. John West is a major branded alternative to own-brand tuna in UK supermarkets. Matches weight and variety"
4424,24120,Morrisons,llm_r3_retry,0.95,"Heinz Mayoracha, 400ml, same brand and core product. 'Mash Ups' is a sub-range descriptor not part of core product name. Matches cluster's core product across a"
4470,52462,Tesco,llm_r3_retry,0.95,"Heinz Curry Tomato Ketchup, same brand and variety. Weight difference (570g vs 500ml) is minimal and likely represents the same product in different weight meas"
5524,45018,Sains,llm_r3_retry,0.95,"Mini garlic & coriander naan, 4 pack, ~200g matches cluster specifications. Own-brand Sainsbury's equivalent to Patak's brand in cluster is acceptable per rules"
5575,53571,Tesco,llm_r3_retry,0.95,"Skittles brand, Fruits/Giants variety, vegan chewy sweets, 132g weight - matches the cluster's core product identity"
3791,53004,Tesco,llm_r3_retry,0.95,"Fuel 10K brand, granola product, 400g size matches cluster. Fruit Loaded variety is a Fuel10K line variant similar to Mocha and Super Berry flavours in cluster."
3739,22595,Morrisons,llm_r3_retry,0.95,"Morrisons Syrup Oat 8 Sachets matches the cluster: porridge oats with golden syrup flavour, 8-sachet pack format (same as Sainsbury's and Tesco), own-brand equi"
7961,63065,Tesco,llm_r3_retry,0.95,"Tesco Gammon Joint 750G matches the cluster: unsmoked gammon joint, 750g weight, own-brand equivalent to ASDA/Morrisons/Sainsbury's unsmoked gammon joints"
7845,36790,Sains,llm_r3_retry,0.95,"Virtu Pierogi Z Miesem 400g matches the core product: pierogi/dumplings with meat, 400g weight. Same variety and weight as cluster items despite different brand"
7694,61640,Tesco,llm_r3_retry,0.95,"Tesco Unsalted Mixed Nuts & Raisins 250G matches the core product (mixed nuts & raisins, unsalted) and supermarket own-brand. Weight difference (250g vs 200g cl"
7533,57235,Tesco,llm_r3_retry,0.95,"Ravenswood Lodi Zinfandel 75cl matches the Morrisons listing in the cluster (Ravenswood Lodi Old Vine Zinfandel). Same brand, same variety (Zinfandel), same vol"
3087,52239,Tesco,llm_r3_retry,0.95,"Wall's Calippo Mini Orange & Lemon-Lime matches the cluster: same brand (Calippo/Wall's), same format (5x80ml = 400ml), same variety (orange citrus flavor). Min"
7509,56071,Tesco,llm_r3_retry,0.95,"Paul Mas Reserve Viognier is a branded Viognier wine in 750ml bottle, matching the core product (Viognier variety, 750ml volume) of the cluster. While cluster s"
3242,51250,Tesco,llm_r3_retry,0.95,"Actimel branded yoghurt drink, 800g multipack of 8x100g format, matches the core product across all three SMs in cluster. Different flavour variety (Multifruit "
3281,43416,Sains,llm_r3_retry,0.95,"Sainsbury's Greek Style Natural Yogurt 1kg matches the cluster's core product: Greek-style yogurt, plain/natural variety, 1000g pack size. All three cluster pro"
6941,52869,Tesco,llm_r3_retry,0.95,"Haribo Maoam Joystixx 140G matches the cluster: same brand (Maoam), same variety (Joystixx), same weight (140g). The Haribo parent company branding doesn't chan"
6852,19670,Morrisons,llm_r3_retry,0.95,"Quorn brand, Mozzarella variety, 240g weight matches cluster. Full product name likely 'Quorn Vegetarian Mozzarella Escalopes' based on truncation pattern."
6843,19487,Morrisons,llm_r3_retry,0.95,"Covent Garden Classic Chicken soup, 550g matches cluster brand, variety, and weight. Abbreviated product name is consistent with grocery labeling variations."
6618,23150,Morrisons,llm_r3_retry,0.95,"Sharwood's Raita Sauce is a branded raita product at 190g, matching the core product (raita dip/sauce) and weight of the cluster. While the cluster contains own"
6229,49264,Tesco,llm_r3_retry,0.95,"Tesco Sparkling Diet Lemonade 2L matches the cluster's core product: diet lemonade, 2000ml volume, same category as ASDA/Morrisons/Sainsbury's diet lemonade pro"
6178,49732,Tesco,llm_r3_retry,0.95,"Diet Coke, 8x330ml (2640ml total), matches the cluster's core product. The cluster contains both regular Diet Coke and Diet Coke No Caffeine variants - candidat"
5992,53604,Tesco,llm_r3_retry,0.95,Tesco Finest Belgian Triple Chocolate Muffins 2 Pack matches the cluster: all are premium own-brand triple chocolate muffins in 2-pack format. Same core product
1422,59358,Tesco,llm_r3_retry,0.95,"East End Green Lentils 500G matches the cluster's core product: dried green lentils, 500g pack. Brand is different but core product (dried green lentils) is ide"
4428,23984,Morrisons,llm_r3_retry,0.95,"Heinz Mayomust, 400ml - matches brand, variety, and size of cluster listings (400ml/400g equivalent)"
1346,36973,Sains,llm_r3_retry,0.95,"Napolina Potato Gnocchi 500g matches the cluster's core product (gnocchi, 500g). The cluster contains different supermarket own-brands of identical gnocchi; Nap"
12013,15193,ASDA,llm_r3_retry,0.95,"Nutri-Brex Gluten Free Original matches the brand (Nutribrex/Nutri-Brex), variety (Gluten Free), and weight (375g) of the cluster. 'Original' is the standard/ba"
986,37755,Sains,llm_r3_retry,0.95,"Sainsbury's Moroccan Almond Extract matches the core product: same variety (Moroccan Almond), same format (liquid extract), same volume (38ml vs 35-38ml range i"
979,24114,Morrisons,llm_r3_retry,0.95,Cake Decor American Peppermint Extract 38ml matches the cluster's core product: American Peppermint Extract in similar volume (38ml vs 35-38ml range). Different
941,52471,Tesco,llm_r3_retry,0.95,"Innocent Kids Super Smoothie, 600ml total (4x150ml pack), same brand and format as cluster. Flavour is different (Mangoes, Peaches, Apricots & Apples vs Mango F"
917,38866,Sains,llm_r3_retry,0.95,"Innocent Kids Smoothies, 4x150ml (600ml total), same brand and pack format as cluster. Flavour varies across cluster examples (peaches/passion fruits/oranges vs"
11695,55278,Tesco,llm_r3_retry,0.95,"Tesco Medium Pot Rosemary is fresh rosemary in a pot format, matching the core product (fresh rosemary) from the cluster. Own-brand rosemary products across UK "
11698,59490,Tesco,llm_r3_retry,0.95,"Tesco Green Seedless Grapes Pack 500G matches the cluster: green grapes, seedless variety, 500g pack. Own-brand products from different SMs (ASDA, Morrisons, Sa"
828,49405,Tesco,llm_r3_retry,0.95,"Same brand (KA), same variety (Sparkling Pineapple), same volume (2000ml/2 Litre), same pack format. Minor naming variation (full product name vs shortened) is "
11905,914,ASDA,llm_r3_retry,0.95,"ASDA Organic Lettuce matches the core product (organic lettuce) from the cluster. All three SMs have organic lettuce varieties (Morrisons Organic, Sainsbury's S"
777,50710,Tesco,llm_r3_retry,0.95,"Same brand (Juice Burst/Juiceburst), same flavour (Apple), same volume (500ml), same pack count (1). Matches cluster across all three supermarkets."
738,27770,Morrisons,llm_r3_retry,0.95,"Coca-Cola Zero Vanilla 500ml matches the cluster brand (Coca-Cola Zero), variety (Vanilla), and volume (500ml). Cluster contains both Vanilla and Lemon variants"
11991,49378,Tesco,llm_r3_retry,0.95,"Warburtons 21 Seeds & Grains thin bagels x4 - matches the Sainsbury's cluster item exactly (same brand, same variety '21 Seeds & Grains', same bagel format, sam"
613,19576,Morrisons,llm_r3_retry,0.95,"Pukka brand, pork sausage roll, same 130g weight. 'Jumbo' descriptor may indicate size difference, but weight specification matches cluster exactly."
11518,1953,ASDA,llm_r3_retry,0.95,"Same brand (Cawston Press), same flavour (Apple & Ginger), same volume (1000ml). 'Original Recipes' is a product line variant but represents the same core juice"
492,44080,Sains,llm_r3_retry,0.95,Sainsbury's Tuna & Sweetcorn Deli Filler 220g matches the core product (tuna & sweetcorn sandwich filler) from the cluster. All three cluster entries are own-br
12465,2858,ASDA,llm_r3_retry,0.95,"Pastificio Liguori Casarecce No.27 500g matches the core product: same pasta shape (Casarecce), same weight (500g), branded alternative to cluster's own-brand v"
464,29572,Morrisons,llm_r3_retry,0.95,Morrisons Purple Aubergine is the same core product as the cluster - all are fresh aubergines sold individually by different UK supermarket own-brands. The 'Pur
12850,27543,Morrisons,llm_r3_retry,0.95,"Confetteria Raffaello Tablet 90g matches the cluster's Ferrero Raffaello White Chocolate with Coconut & Almond Bar 90g - same brand (Ferrero/Confetteria), same "
12950,21525,Morrisons,llm_r3_retry,0.95,"Costa Coffee Brazilian Blend Ristretto, 57g, 10 pods. Matches cluster on brand (Costa), variety (Brazilian Blend Ristretto), weight (57g), and pack count (10). "
13239,24769,Morrisons,llm_r3_retry,0.95,"Mirabeau Forever Summer Rose 750ml matches the cluster's brand (Mirabeau), rosé variety, and 750ml volume. The cluster contains 'Mirabeau Forever Summer' and 'M"
13282,13426,ASDA,llm_r3_retry,0.95,"Petit Chablis wine, 750ml bottle. All cluster items are Chablis wines (750ml), and candidate A is Petit Chablis (a recognized Chablis variety) with matching vol"
371,53055,Tesco,llm_r3_retry,0.95,"Tesco Butterhead Lettuce is a round lettuce variety, matching the core product (round lettuce) from the cluster. Different supermarket own-brands of the same fr"
13610,29398,Morrisons,llm_r3_retry,0.95,"Morrisons Shallots 300g matches the core product (shallots) across all three supermarkets. While weights vary (300-400g), the 300g size is present in the cluste"
219,21587,Morrisons,llm_r3_retry,0.95,"Starbucks Caramel flavour, 10 capsules, 50g - matches cluster variety, brand, pack count, and weight (cluster shows 50-51g across listings)"
14020,12068,ASDA,llm_r3_retry,0.95,"Beef & Ale pie is the core product across cluster (casserole, pie, stew all beef+ale prepared dishes). ASDA F matches with British Steak & Ale Pies, same flavou"
11554,14625,ASDA,llm_r3_retry,0.95,"ASDA Full-Flavoured 24 Beef Meatballs 672g matches the cluster core product: 24 beef meatballs, 672g pack size (same as Tesco). Own-brand equivalents across dif"
12111,57771,Tesco,llm_r3_retry,0.95,"Tuna & Sweetcorn Sandwich matches the core product (same variety/flavour) across all three cluster entries. Own-brand Tesco equivalent to ASDA, Morrisons, and S"
11048,46360,Sains,llm_r3_retry,0.95,"Sainsbury's Bake at Home White Petit Pains x6 matches the core product: bake-at-home petit pains, same pack count (6), same variety (white/plain). Cluster conta"
11242,45704,Sains,llm_r3_retry,0.95,"Sainsbury's Chilli Con Carne & White Rice Ready Meal is the same core product as the cluster: chilli con carne with rice, 400g pack size, matching the ASDA and "
11228,45496,Sains,llm_r3_retry,0.95,"Both are pain au chocolat, all-butter, bake at home products. Sainsbury's A matches the core product despite slightly different weight (360g vs 276-320g range) "
10866,39926,Sains,llm_r3_retry,0.95,"Old Speckled Hen Pale Ale 500ml matches the brand and core product. The cluster contains variations (Low Alcohol, Session Ale, Gluten Free) of the same base bra"
10685,38573,Sains,llm_r3_retry,0.95,"Same brand (Corona), same variety (Extra Premium Lager), same pack count (12x330ml), same total volume (3960ml). Only difference is bottles vs cans, but core pr"
11320,12858,ASDA,llm_r3_retry,0.95,"Mars 4x39.4g (157.6g) matches the Sainsbury's listing exactly - same brand (Mars), same variety (standard Mars bar multipack), same pack count (4), and same tot"
14033,27166,Morrisons,llm_r3_retry,0.92,Maltesers Teasers Large Egg format matches cluster. Weight variation (180g vs 185g) is minor and likely due to product reformulation or rounding across retailer
11234,59588,Tesco,llm_r3_retry,0.92,"Triple cooked chips, beef-basted/dripping, 750g weight, premium own-brand from major UK supermarket. Matches core product of cluster across all key attributes."
8005,63386,Tesco,llm_r3_retry,0.92,"Tesco Smoked Bacon Lardons matches the core product: smoked bacon lardons, own-brand equivalent to cluster. Weight variation (200g vs 160-200g range) is accepta"
12822,11551,ASDA,llm_r3_retry,0.92,"Las Chicas Tinga is a chipotle paste in 100g format, matching the core product category and weight of the cluster. While brand differs from cluster entries, it "
10606,2413,ASDA,llm_r3_retry,0.92,"ASDA 'Disposable Loaf Liners' matches the cluster's core product (loaf tin cake liners). All three cluster products specify loaf tin liners, and B explicitly st"
6898,52965,Tesco,llm_r3_retry,0.92,"Eastmans Steak Pie 150g matches the core product: steak pie in puff pastry, 150g weight. Eastmans is a branded product but represents the same unbranded core pr"
3050,45689,Sains,llm_r3_retry,0.92,"Sainsbury's Chicken Steaks In Crispy Crumb 380g matches the cluster's core product: breaded/fried chicken steaks, 380g, 4-pack format. Own-brand equivalent acro"
5923,25958,Morrisons,llm_r3_retry,0.85,"Large white baps, pack of 4. 'Extra Large' is a size variation of the same core product (large white baps). Close match to cluster specification."
5577,27436,Morrisons,llm_r3_retry,0.85,Skittles Sours matches the cluster's sour fruit sweets variety. Weight 140g is close to cluster's 130-136g range (minor variation acceptable for same product ac
6552,53740,Tesco,llm_r3_retry,0.85,"Sharwoods Sweet Chilli Garlic Stir Fry Sauce 120g matches the core product (sweet chilli & garlic stir-fry sauce, 120g format). The '30% Less Sugar' variant is "
5804,29636,Morrisons,llm_r3_retry,0.85,"D is 'Morrisons The Best Hand Decorated Vic...' which appears to be a Victoria Sponge cake from Morrisons' premium 'The Best' range, matching the premium tier ("
5816,18657,Morrisons,llm_r3_retry,0.85,"Market Street Vanilla Custard Slices matches the core product: custard slices in a 2-pack format, same variety (vanilla/custard), consistent with cluster produc"
5841,30530,Morrisons,llm_r3_retry,0.85,Irwin's Together Cinnamon buns match the core product (cinnamon buns) of the cluster. All cluster items are cinnamon buns in 2-pack format. Irwin's is a branded
5835,25913,Morrisons,llm_r3_retry,0.85,"Market Street Flapjack Bites matches the core product: flapjack bites in a multi-pack format, same category as cluster. Own-brand equivalent to Sainsbury's/ASDA"
10208,49588,Tesco,llm_r3_retry,0.85,White Lasagne Sauce from Tesco matches the cluster's core product (white lasagne sauce). Different brand (Tesco own-brand vs Loyd Grossman) and slightly smaller
5937,29188,Morrisons,llm_r3_retry,0.85,"Morrisons The Best Twin Lemon matches cluster pattern: premium own-brand lemon cheesecake slices, 190g pack size (consistent with 180-190g range in cluster), 2-"
13014,27648,Morrisons,llm_r3_retry,0.85,Morrisons own-brand apple juice in 1000ml matching cluster's volume and core product type. 'No Added Sugar' is a variant descriptor but same base product (pure 
5926,26067,Morrisons,llm_r3_retry,0.85,"Whaoo! Chocolate Filled Crepes matches the core product (chocolate filled crepes, pack of 6) found in the cluster. The cluster contains two Sainsbury's and one "
5934,26009,Morrisons,llm_r3_retry,0.85,"Morrisons The Best Wholemeal is own-brand equivalent to cluster's wholemeal baps. Same variety (wholemeal), same format (baps), same pack count (4). Weight 800g"
13415,906,ASDA,llm_r3_retry,0.85,"ASDA Mild & Crunchy Celery Sticks is organic celery from ASDA, matching the core product (organic celery) in the cluster. Different presentation (sticks vs whol"
10057,7588,ASDA,llm_r3_retry,0.85,"ASDA own-brand peeled plum tomatoes in 400g tin, matching the core unbranded product across Morrisons, Sainsbury's, and Tesco. All are peeled plum tomatoes, sam"
6049,25879,Morrisons,llm_r3_retry,0.85,"Morrisons Bake at Home Crusty White Rolls matches the core product: white crusty rolls in a multi-pack format, same category as cluster items from ASDA, Sainsbu"
6106,30079,Morrisons,llm_r3_retry,0.85,"Spiderman Celebration Cake matches the Marvel Spiderman Cake brand and character theme from cluster. Same core product (Spiderman cake), though serving size dif"
6409,22423,Morrisons,llm_r3_retry,0.85,"Homepride brand, Chilli variety, 475g weight matches cluster. 'Family Favourite' variant is a different product line but core product is chilli sauce in same si"
12932,21775,Morrisons,llm_r3_retry,0.85,Morrisons Savers Salted Tortillas 180g matches the core product (lightly/salted tortilla chips) and weight (180g matches ASDA). Own-brand match across different
10852,13411,ASDA,llm_r3_retry,0.85,"Muscadet Appellation D'Origine Protégée is the same wine variety (Muscadet) from the same region, 750ml bottle. While the cluster includes specific sub-appellat"
6372,24664,Morrisons,llm_r3_retry,0.85,Mix Up Gin And Diet Tonic 250ml matches the cluster's core product: gin with diet/slimline tonic in 250ml format. Different brand (Mix Up vs Gordon's) but same 
9282,55167,Tesco,llm_r3_retry,0.85,"Tesco 30% Reduced Fat Prawn Cocktail 170G matches the core product: prawn cocktail variety, reduced fat variant present in cluster (ASDA Reduced Fat), 170g size"
13458,6543,ASDA,llm_r3_retry,0.85,"ASDA Succulent Cooked & Peeled Cold Water Prawns 150g matches the core product: cold water prawns, cooked & peeled, 150g. All three cluster entries are Canadian"
13465,12200,ASDA,llm_r3_retry,0.85,"ASDA Side For Two Bombay Potatoes matches the core product (Bombay Potato side dish, serves 2). Weight is 250g vs 300g in cluster, but this is a minor variation"
5436,53420,Tesco,llm_r3_retry,0.85,"Prawn-flavored crisps, 150g, same weight as cluster. 'Marie Rose' is a prawn-based sauce variant of prawn cocktail flavor, representing the same core product ca"
4462,32256,Sains,llm_r3_retry,0.85,"Sainsbury's Tomato Ketchup Sauce, Reduced Salt matches the core product (tomato ketchup with reduced salt/sugar). While weight varies slightly across cluster (4"
14180,28336,Morrisons,llm_r3_retry,0.85,Morrisons Small Unsmoked is unsmoked gammon joint matching cluster variety. Weight 1549.4g falls within cluster range (1.4-2.2kg). 'Small' designation aligns wi
10488,2245,ASDA,llm_r3_retry,0.85,Opies Stem Ginger in Syrup is the same core product (stem ginger in syrup preserve). Weight difference (280g vs 340-350g) is minor variation common across retai
4629,35016,Sains,llm_r3_retry,0.85,Sainsbury's Celery Salt 78g matches the core product (celery salt) and weight is within acceptable range of cluster (71.4-72g vs 78g). Different brand (Sainsbur
4663,21377,Morrisons,llm_r3_retry,0.85,"Schwartz Ground Sumac is the same core product (sumac spice) as the cluster. Weight (44g) is within the range of cluster weights (45-52g), typical variation for"
13954,29627,Morrisons,llm_r3_retry,0.85,Yorkshire Baking Co. Banana Mega Loaf matches the banana loaf cake flavor from the cluster. While 'Mega Loaf' suggests potentially different sizing than the 250
4754,33848,Sains,llm_r3_retry,0.85,"Same variety (Fajita Seasoning), same weight (~48g matches cluster's ~46-47g range), different brand (Sainsbury's own-brand vs Schwartz) but acceptable per rule"
13846,25945,Morrisons,llm_r3_retry,0.85,"All Butter Croissants - core product match. Brioche Pasquier is a branded all-butter croissant product, same category and type as cluster items (ASDA Extra Spec"
13766,7311,ASDA,llm_r3_retry,0.85,ASDA Wensleydale Mild & Crumbly 250g matches the core product (plain Wensleydale cheese) from the cluster. All cluster items are plain Wensleydale with no added
4809,37481,Sains,llm_r3_retry,0.85,Baxters Caramelised Onion Chutney 290g matches the cluster's core product (red/caramelised onion chutney) with similar weight (290g vs 280-310g range). Differen
13749,19408,Morrisons,llm_r3_retry,0.85,Morrisons Wafer Thin Ham matches the core product (wafer thin cooked ham slices) from the cluster. All cluster items are wafer thin cooked ham. Candidate A is w
