ensemble_cluster_id,cluster_size,missing_sm,match_letter,picked_idx,confidence,reason,n_candidates
204,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
238,2,Tesco,NONE,,0.95,"Cluster is a chocolate sponge pudding (a dessert pudding product), but all Tesco candidates are chocolate confectionery items (bars, eggs, candies, sauce) - com",8
215,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
235,3,Morrisons,B,18146.0,0.95,"Milo Ghana Tin 400g matches the cluster: same brand (Milo), same variety (Ghanaian/Ghana malt chocolate), same weight (400g), same pack type (tin). Minor naming",8
219,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
231,2,Sains,NONE,,0.95,"Cluster is drinking chocolate powder (hot chocolate). Candidates A-H are biscuits, chocolate confectionery, alcoholic drink, protein shake, cake mix, or cookies",8
221,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
223,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
246,3,Morrisons,NONE,,0.95,Cluster is Options Vegan Belgian Hot Chocolate 200g. Candidate A is Options but Hazelnut Praline (different flavour). No other candidates match the brand (Optio,8
221,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
225,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
224,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
249,2,Morrisons,NONE,,0.95,"Cluster is strawberry milkshake mix (dry powder, 300g). Candidates A-H are beverages, vapes, or alcohol - none match the core product category of milkshake mix ",8
227,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
229,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
228,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
255,3,Sains,NONE,,0.95,"Cluster is Nido Full Cream Milk Powder 900g. No candidate matches: A is curry powder, B is cereal, C is liquid milk, D is milkshake, E and F are whey protein po",8
261,2,Sains,NONE,,0.99,"Cluster is Nescafe Gold Irish Latte (coffee product). All candidates (A-H) are different products: snacks, beverages, pickles, wine, juice, oatcakes. No match t",8
232,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
250,2,Sains,NONE,,0.95,"Cluster is Tea India Ginger Chai 40 bags 100g. Candidate A is Sainsbury's Red Label (different brand, different variety). No other candidates are tea products m",5
232,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
236,2,Sains,NONE,,0.99,"Cluster is a Hot Chocolate Fudge Cake (450g bakery/dessert item). All candidates are either ice cream, roulade, beverage, or pastry - none match the cake produc",8
236,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
240,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
239,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
268,2,Morrisons,NONE,,0.95,"Cluster is Nescafé Gold Iced Latte Vanilla Cream 7x15g (105g). Candidate A is Gold Latte 8 Mugs (125g) - different flavour (no 'Iced' or 'Vanilla Cream'), diffe",8
240,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
238,2,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
267,2,Tesco,NONE,,0.95,"Cluster is Dolce Gusto brand capsules (16x8g = 128g total). Candidate B is Tesco Finest Microground Coffee (100g loose), different brand, different format (not ",8
241,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
242,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
245,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
247,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
275,3,Morrisons,NONE,,0.95,"Cluster is Lavazza branded coffee capsules (Espresso Maestro Lungo/Ristretto, ~56-57g, 10 pack). Candidate C is Caffe Nero (different brand), not Lavazza. No ot",8
250,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
249,2,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
277,3,Morrisons,NONE,,0.95,"Candidate A is Pukka Breathe In (different variety/flavour), not Pukka Vanilla Chai. No other candidates match the core product (Pukka Organic Vanilla Chai, 20 ",8
254,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
258,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
283,2,Tesco,NONE,,0.95,"Cluster requires ASDA/Sainsbury's own-brand Earl Grey tea bags. Candidates A (Taylors), B (Clipper), C (Twinings), E (Tetley) are all different brands with diff",8
261,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
260,3,Sains,NONE,,0.95,"Cluster is Nescafe 3in1 Original (instant coffee with milk and sugar sachets, 6x16g). No Sainsbury's candidate matches: B, D, F, G, H are different coffee types",8
266,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
293,2,Tesco,NONE,,0.95,Cluster contains two different Twinings tea varieties (Earl Grey Decaffeinated and Fruit Selection). Candidate A is Earl Grey but in loose leaf form (125g) not ,8
262,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
271,3,Morrisons,NONE,,0.99,"Cluster is Lavazza A Modo Mio Lungo Dolce Coffee Capsules x16 125g. No candidates match: A&B are Morrisons Gold ground coffee (different brand, format, weight);",8
267,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
270,3,Sains,NONE,,0.99,"Cluster is Tetley Earl Grey tea bags (black tea). All candidates are different products: A is green tea, B is chin chin snacks, C is garlic granules, D is toffe",8
268,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
300,3,Tesco,NONE,,0.95,"Cluster is Silver Spoon brand granulated sweetener 75g. Candidates A and B are Tesco own-brand aspartame/sucralose sweeteners (different brand, different type).",8
269,2,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
272,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
303,2,Sains,NONE,,0.95,"Candidate A is Sainsbury's own-brand white granulated sugar (5kg), while the cluster contains Silver Spoon branded granulated sugar (5kg). Although both are gra",8
276,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
276,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",7
269,2,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
302,3,Sains,NONE,,0.99,"Cluster is Silver Spoon Jam Sugar (specialty sugar for jam-making). Candidates A-C are different sugar types (icing, caster). Candidates D-H are completely diff",8
283,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
282,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
310,2,Morrisons,E,22592.0,0.75,"Slimmers Calorie Free Sweeteners matches the core product (artificial sweetener) and likely similar weight/format to Tate & Lyle Sweetener. However, different b",8
279,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
278,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
284,3,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
291,3,Morrisons,NONE,,0.95,"Cluster is Splenda brand zero-calorie sweetener tablets. Candidates A is own-brand sweetener (different brand), B-H are all vaping products (SKE Crystal, Chill,",8
308,2,Morrisons,H,22592.0,0.85,"Slimmers Calorie Free Sweeteners is a sweetener product matching the core product (Tate & Lyle Sweetener tablets). While the brand differs, it represents the sa",8
290,3,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
293,2,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
295,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
308,2,Tesco,A,49217.0,0.85,"Tesco Tablet Sweeteners 300 Tablets Pack matches the cluster's core product: tablet sweeteners, 300 pack count. Brand is Tesco own-brand (equivalent to Asda/Sai",8
298,2,Morrisons,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
297,3,Tesco,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
319,2,Morrisons,NONE,,0.95,"Cluster contains plain icing sugar 500g. No candidate matches: A is flavoured coffee icing (400g), B is caster sugar blend (375g), D is dark brown sugar (differ",8
298,2,Sains,NONE,,0.0,"api_error: Error code: 429 - {'type': 'error', 'error': {'type': 'rate_limit_error', 'message': ""This request w",8
327,3,Morrisons,NONE,,0.99,"Cluster is Yeo Valley Organic Whole Milk 2L. All candidates are either vapes (A, B, E, F, G), bread (C), or wine (D, H). No milk products present in candidates.",8
