supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,is_truncated,original_name,supermarket_brand,tier_type,tier_keyword,known_brand,pack_quantity,pack_pattern,unit_value,unit_type,abv_percentage,unit_inferred,attributes_types,attributes_keywords,descriptors,core_product_name,normalized_name
ASDA,10.5,139.96,l,Macon-Villages Reserve Chardonnay 750ml,20240413,drinks,False,False,Macon-Villages Reserve Chardonnay 750ml,,,,,,,750.0,ml,,False,,,,Macon-Villages Reserve Chardonnay,macon villages reserve chardonnay
Morrisons,0.97,3.09,kg,Morrison Thin Crust Cheese Pizza,20240413,frozen,False,False,Morrison Thin Crust Cheese Pizza,Morrison,standard,,,,,313.9,g,,True,,,{'texture': ['thin']},Thin Crust Cheese Pizza,thin crust cheese pizza
ASDA,6.5,86.64,l,Hardys Crest Cabernet Shiraz Merlot,20240413,drinks,False,False,Hardys Crest Cabernet Shiraz Merlot,,,,Hardys,,,75.0,ml,,True,,,,Crest Cabernet Shiraz Merlot,crest cabernet shiraz merlot
Sains,2.1,2.1,l,Sainsbury's Pure 100% Prune Juice 1L,20240413,drinks,True,False,Sainsbury's Pure 100% Prune Juice 1L,Sainsbury's,standard,,,,,1000.0,ml,100.0,False,,,,Pure Prune Juice,pure prune juice
Sains,1.5,2.0,l,Sainsbury's Quadruple Strength Summer Fruits Squash 750ml,20240413,drinks,True,False,Sainsbury's Quadruple Strength Summer Fruits Squash 750ml,Sainsbury's,standard,,,,,750.0,ml,,False,,,,Quadruple Strength Summer Fruits Squash,quadruple strength summer fruits squash
ASDA,1.5,30.0,kg,Buttermilk Peanut Nougat,20240413,food_cupboard,False,False,Buttermilk Peanut Nougat,,,,Buttermilk,,,50.0,g,,True,,,,Peanut Nougat,peanut nougat
Tesco,2.5,13.3,kg,Tesco Finest 4 Pork Sausage Rolls 188G,20240413,fresh_food,True,False,Tesco Finest 4 Pork Sausage Rolls 188G,Tesco Finest,premium,Finest,,,,188.0,g,,False,,,{'cut_meat': ['sausage']},4 Pork Sausage Rolls,4 pork sausage rolls
ASDA,2.25,7.8,kg,Blue Riband Original Milk Chocolate Wafer Biscuits 16 Pack,20240413,food_cupboard,False,False,Blue Riband Original Milk Chocolate Wafer Biscuits 16 Pack,,,,Blue Riband,16.0,count_pack,288.5,g,,True,,,,Original Milk Chocolate Wafer Biscuits,original milk chocolate wafer biscuits
Sains,2.35,7.3,kg,Geeta's Mango Chutney 320g,20240413,food_cupboard,False,False,Geeta's Mango Chutney 320g,,,,Geeta'S,,,320.0,g,,False,,,,Mango Chutney,mango chutney
ASDA,1.7,0.28,unit,Sheldon's Lancashire Oven Bottom Muffins,20240413,bakery,False,False,Sheldon's Lancashire Oven Bottom Muffins,,,,Sheldon'S,,,,,,False,,,,Lancashire Oven Bottom Muffins,lancashire oven bottom muffins
Sains,2.25,7.5,kg,Kellogg's Special K The Original 300g,20240413,food_cupboard,False,False,Kellogg's Special K The Original 300g,,,,Kellogg'S,,,300.0,g,,False,,,,Special K The Original,special k the original
Morrisons,3.0,33.3,kg,Kind Dark Chocolate Nuts & Sea Sa…,20240413,food_cupboard,False,True,Kind Dark Chocolate Nuts & Sea Sa…,,,,Kind,,,90.1,g,,True,,,,Dark Chocolate Nuts and Sea Sa…,dark chocolate nuts and sea sa
ASDA,2.4,4.8,l,Sharp's Doom Bar Amber Ale,20240413,drinks,False,False,Sharp's Doom Bar Amber Ale,,,,Sharp'S,,,500.0,ml,,True,,,,Doom Bar Amber Ale,doom bar amber ale
Tesco,0.89,4.4,kg,Stockwell & Co 80 Tea Bags 200G,20240413,drinks,False,False,Stockwell & Co 80 Tea Bags 200G,,,,,80.0,bag_count,200.0,g,,False,,,,Stockwell and Co,stockwell and co
Tesco,1.95,13.93,kg,Philadelphia Original Soft Cream Cheese Mini Tub 4 Pack 140G,20240413,fresh_food,False,False,Philadelphia Original Soft Cream Cheese Mini Tub 4 Pack 140G,,,,Philadelphia,4.0,count_pack,140.0,g,,False,,,"{'texture': ['soft'], 'packaging': ['tub']}",Original Soft Cream Cheese Mini Tub,original soft cream cheese mini tub
Morrisons,2.5,12.5,kg,Applewood Vegan Block,20240413,free-from,False,False,Applewood Vegan Block,,,,Applewood,,,200.0,g,,True,diet,vegan,,Block,block
ASDA,1.0,4.2,kg,Ambrosia Deluxe Custard Madagascan Vanilla 2 x 120g (240g),20240413,food_cupboard,False,False,Ambrosia Deluxe Custard Madagascan Vanilla 2 x 120g (240g),,,,Ambrosia,2.0,count_x_size,240.0,g,,False,,,,Deluxe Custard Madagascan Vanilla,deluxe custard madagascan vanilla
Tesco,1.9,15.2,kg,Tesco Finest Chai 50 Tea Bags 125G,20240413,drinks,True,False,Tesco Finest Chai 50 Tea Bags 125G,Tesco Finest,premium,Finest,,50.0,bag_count,125.0,g,,False,,,,Chai,chai
Sains,2.0,33.3,kg,Grenade Jaffa Quake Chocolate Orange Flavour 60g,20240413,free-from,False,False,Grenade Jaffa Quake Chocolate Orange Flavour 60g,,,,Grenade,,,60.0,g,,False,,,,Jaffa Quake Chocolate Orange Flavour,jaffa quake chocolate orange flavour
Tesco,1.75,13.7,kg,Mars Triple Treat Fruit Nut & Chocolate Bars Multipack 4 X 32g,20240413,food_cupboard,False,False,Mars Triple Treat Fruit Nut & Chocolate Bars Multipack 4 X 32g,,,,Mars,4.0,count_x_size,128.0,g,,False,,,{'packaging': ['multipack']},Triple Treat Fruit Nut and Chocolate Bars Multipack,triple treat fruit nut and chocolate bars multipack
Sains,1.3,15.3,kg,Sainsbury's Paprika Lentil Triangles 85g,20240413,food_cupboard,True,False,Sainsbury's Paprika Lentil Triangles 85g,Sainsbury's,standard,,,,,85.0,g,,False,,,,Paprika Lentil Triangles,paprika lentil triangles
Sains,7.0,46.67,kg,"Sainsbury's Raw Large Canadian Scallops MSC, Taste the Difference 150g",20240413,free-from,True,False,"Sainsbury's Raw Large Canadian Scallops MSC, Taste the Difference 150g",Sainsbury's,standard,,,,,150.0,g,,False,,,,"Raw Large Canadian Scallops MSC, Taste the Difference",raw large canadian scallops msc taste the difference
Morrisons,1.8,10.2,kg,Haribo Tangfastics 11 Mini…,20240219,food_cupboard,False,True,Haribo Tangfastics 11 Mini…,,,,Haribo,,,176.5,g,,True,,,,Tangfastics 11 Mini…,tangfastics 11 mini
Sains,2.5,13.7,kg,Snickers Creamy Peanut Butter & Milk Chocolate Snack Bars Multipack 182g,20240324,food_cupboard,False,False,Snickers Creamy Peanut Butter & Milk Chocolate Snack Bars Multipack 182g,,,,Snickers,182.0,multipack,182.5,g,,True,,,{'texture': ['creamy']},Creamy Peanut Butter and Milk Chocolate Snack Bars g,creamy peanut butter and milk chocolate snack bars g
Sains,1.15,15.3,kg,Cadbury Dairy Milk Daim Chocolate Dessert 75g,20240413,fresh_food,False,False,Cadbury Dairy Milk Daim Chocolate Dessert 75g,,,,Cadbury,,,75.0,g,,False,,,,Dairy Milk Daim Chocolate Dessert,dairy milk daim chocolate dessert
Tesco,1.05,4.2,kg,Tesco Plant Chef Coleslaw 250G,20240413,fresh_food,True,False,Tesco Plant Chef Coleslaw 250G,Tesco Plant Chef,dietary,Plant Chef,,,,250.0,g,,False,,,,Coleslaw,coleslaw
Sains,3.35,18.2,kg,"Sainsbury's New York Vanilla Cheesecake Slices, Taste the Difference 2x92g",20240413,free-from,True,False,"Sainsbury's New York Vanilla Cheesecake Slices, Taste the Difference 2x92g",Sainsbury's,standard,,,2.0,count_x_size,184.0,g,,False,,,,"New York Vanilla Cheesecake Slices, Taste the Difference",new york vanilla cheesecake slices taste the difference
Sains,0.75,5.0,l,Sainsbury's Fresh Soured Cream 150ml,20240313,fresh_food,True,False,Sainsbury's Fresh Soured Cream 150ml,Sainsbury's,standard,,,,,150.0,ml,,False,,,,Fresh Soured Cream,fresh soured cream
Sains,1.75,3.5,kg,Chicken Tonight Honey & Mustard 500g,20240413,food_cupboard,False,False,Chicken Tonight Honey & Mustard 500g,,,,Chicken Tonight,,,500.0,g,,False,,,,Honey and Mustard,honey and mustard
Sains,8.0,10.64,l,Brancott Estate Sauvignon Blanc White Wine 75cl,20240413,drinks,False,False,Brancott Estate Sauvignon Blanc White Wine 75cl,,,,Brancott Estate,,,750.0,ml,,False,,,{'bakery_type': ['white']},Sauvignon Blanc White Wine,sauvignon blanc white wine
Tesco,2.0,11.1,kg,Fox's Milk Chocolate Cookies 180G,20240413,food_cupboard,False,False,Fox's Milk Chocolate Cookies 180G,,,,Fox'S,,,180.0,g,,False,,,,Milk Chocolate Cookies,milk chocolate cookies
Tesco,2.2,15.7,kg,Alpro Double Chocolate Dairy Free Vegan Soya Dessert 2x70g,20240413,fresh_food,False,False,Alpro Double Chocolate Dairy Free Vegan Soya Dessert 2x70g,,,,Alpro,2.0,count_x_size,140.0,g,,False,"free_from,diet","dairy free,vegan",,Double Chocolate Soya Dessert,double chocolate soya dessert
ASDA,2.2,22.0,kg,ASDA Goat's Cheese,20240216,fresh_food,True,False,ASDA Goat's Cheese,ASDA,standard,,,,,100.0,g,,True,,,,Goat's Cheese,goat s cheese
Sains,6.3,31.5,kg,Lindt Lindor Strawberries & Cream Chocolate Truffles Box 200g,20240413,food_cupboard,False,False,Lindt Lindor Strawberries & Cream Chocolate Truffles Box 200g,,,,Lindt,,,200.0,g,,False,,,,Lindor Strawberries and Cream Chocolate Truffles Box,lindor strawberries and cream chocolate truffles box
Morrisons,2.99,12.9,kg,PG Tips Original 80 Tea Bags,20240413,food_cupboard,False,False,PG Tips Original 80 Tea Bags,,,,Pg Tips,80.0,bag_count,231.8,g,,True,,,,Original,original
Sains,45.0,59.85,l,Pommery Champagne Brut Royal 750ml,20240413,drinks,False,False,Pommery Champagne Brut Royal 750ml,,,,,,,750.0,ml,,False,,,,Pommery Champagne Brut Royal,pommery champagne brut royal
Sains,1.35,10.4,kg,The Natural Confectionery Company Jelly Snakes Sweets Bag 130g,20240413,food_cupboard,False,False,The Natural Confectionery Company Jelly Snakes Sweets Bag 130g,,,,,,,130.0,g,,False,,,,The Natural Confectionery Company Jelly Snakes Sweets Bag,the natural confectionery company jelly snakes sweets bag
ASDA,1.95,4.9,kg,JUST ESSENTIALS by ASDA Wafer Thin Cooked Ham Slices,20240413,fresh_food,True,False,JUST ESSENTIALS by ASDA Wafer Thin Cooked Ham Slices,Just Essentials by ASDA,value,Just Essentials,,,,398.0,g,,True,,,{'texture': ['thin']},Wafer Thin Cooked Ham Slices,wafer thin cooked ham slices
Morrisons,63.5,0.64,unit,Carlton Original Cigarettes Multipack,20240413,drinks,False,False,Carlton Original Cigarettes Multipack,,,,,,,,,,False,,,{'packaging': ['multipack']},Carlton Original Cigarettes Multipack,carlton original cigarettes multipack
ASDA,2.6,6.5,kg,Birds Eye Steam Fresh Mediterranean Pasta with Veg & Tomato Sauce 400g,20240413,frozen,False,False,Birds Eye Steam Fresh Mediterranean Pasta with Veg & Tomato Sauce 400g,,,,Birds Eye,,,400.0,g,,False,,,,Steam Fresh Mediterranean Pasta with Veg and Tomato Sauce,steam fresh mediterranean pasta with veg and tomato sauce
Morrisons,10.5,13.96,l,Brancott Estate Sauvignon Blanc White Wine,20240413,drinks,False,False,Brancott Estate Sauvignon Blanc White Wine,,,,Brancott Estate,,,752.1,ml,,True,,,{'bakery_type': ['white']},Sauvignon Blanc White Wine,sauvignon blanc white wine
Sains,2.0,1.3,l,"Old Jamaica Ginger Beer, Diet 1.5L",20240413,drinks,False,False,"Old Jamaica Ginger Beer, Diet 1.5L",,,,Old Jamaica,,,1500.0,ml,,False,,,,"Ginger Beer, Diet",ginger beer diet
Sains,10.5,13.96,l,"Sainsbury's Chardonnay, Taste the Difference 75cl",20240413,drinks,True,False,"Sainsbury's Chardonnay, Taste the Difference 75cl",Sainsbury's,standard,,,,,750.0,ml,,False,,,,"Chardonnay, Taste the Difference",chardonnay taste the difference
Tesco,2.0,16.0,kg,Marmite Yeast Extract Spread 125G,20240413,food_cupboard,False,False,Marmite Yeast Extract Spread 125G,,,,Marmite,,,125.0,g,,False,,,,Yeast Extract Spread,yeast extract spread
Morrisons,1.0,2.0,kg,Skinny Whip Chocolate Orange,20240413,food_cupboard,False,False,Skinny Whip Chocolate Orange,,,,Skinny Whip,,,500.0,g,,True,,,,Chocolate Orange,chocolate orange
Tesco,0.75,15.0,kg,Grace Pumpkin Soup Mix 50G,20240413,food_cupboard,False,False,Grace Pumpkin Soup Mix 50G,,,,Grace,,,50.0,g,,False,,,,Pumpkin Soup Mix,pumpkin soup mix
Tesco,0.9,18.0,kg,Tesco Scotch Bonnet Chillies 50G,20240413,fresh_food,True,False,Tesco Scotch Bonnet Chillies 50G,Tesco,standard,,,,,50.0,g,,False,,,,Scotch Bonnet Chillies,scotch bonnet chillies
Tesco,1.99,4.4,kg,Roses Lemon & Lime Marmalade 454G,20240413,food_cupboard,False,False,Roses Lemon & Lime Marmalade 454G,,,,Roses,,,454.0,g,,False,,,,Lemon and Lime Marmalade,lemon and lime marmalade
ASDA,2.5,16.9,kg,ASDA Free From 5 Brownie Slices,20240413,bakery,True,False,ASDA Free From 5 Brownie Slices,ASDA Free From,dietary,Free From,,,,147.9,g,,True,,,,5 Brownie Slices,5 brownie slices
Tesco,3.25,40.6,kg,Tesco Honey Roast Salmon Flakes 80G,20240412,fresh_food,True,False,Tesco Honey Roast Salmon Flakes 80G,Tesco,standard,,,,,80.0,g,,False,,,,Honey Roast Salmon Flakes,honey roast salmon flakes
Sains,3.5,14.0,kg,Higgidy Steak & Ale Pie 250g,20240413,fresh_food,False,False,Higgidy Steak & Ale Pie 250g,,,,Higgidy,,,250.0,g,,False,,,{'cut_meat': ['steak']},Steak and Ale Pie,steak and ale pie
Tesco,2.0,7.4,l,Tesco 3 Caramel Millionaires Ice Cream 270Ml,20240207,frozen,True,False,Tesco 3 Caramel Millionaires Ice Cream 270Ml,Tesco,standard,,,,,270.0,ml,,False,,,,3 Caramel Millionaires Ice Cream,3 caramel millionaires ice cream
Sains,2.5,0.4,l,Nestle Pure Life Still Spring Water 12x500ml,20240413,drinks,False,False,Nestle Pure Life Still Spring Water 12x500ml,,,,Nestle,12.0,count_x_size,6000.0,ml,,False,,,,Pure Life Still Spring Water,pure life still spring water
Tesco,2.75,4.8,kg,Tesco 4 Chicken & Bacon Pies 568G,20240413,frozen,True,False,Tesco 4 Chicken & Bacon Pies 568G,Tesco,standard,,,,,568.0,g,,False,,,,4 Chicken and Bacon Pies,4 chicken and bacon pies
Sains,0.8,2.7,l,Kubus Go Strawberry-Banana 300ml,20240413,food_cupboard,False,False,Kubus Go Strawberry-Banana 300ml,,,,Kubus,,,300.0,ml,,False,,,,Go Strawberry-Banana,go strawberry banana
ASDA,0.95,26.4,kg,Schwartz Somerset Pork Casserole Recipe Mix,20240413,food_cupboard,False,False,Schwartz Somerset Pork Casserole Recipe Mix,,,,Schwartz,,,36.0,g,,True,,,,Somerset Pork Casserole Recipe Mix,somerset pork casserole recipe mix
Sains,2.0,5.7,kg,Yeo Valley Organic Kefir Strawberry Yogurt 350g,20240413,free-from,False,False,Yeo Valley Organic Kefir Strawberry Yogurt 350g,,,,Yeo Valley,,,350.0,g,,False,organic,organic,,Kefir Strawberry Yogurt,kefir strawberry yogurt
Morrisons,1.29,3.0,kg,Morrisons Puff Pastry Block,20240413,fresh_food,True,False,Morrisons Puff Pastry Block,Morrisons,standard,,,,,430.0,g,,True,,,,Puff Pastry Block,puff pastry block
Morrisons,4.0,8.0,kg,Morrisons 4 Garlic & Herb Chicken Kievs,20240413,frozen,True,False,Morrisons 4 Garlic & Herb Chicken Kievs,Morrisons,standard,,,,,500.0,g,,True,,,,4 Garlic and Herb Chicken Kievs,4 garlic and herb chicken kievs
ASDA,0.35,2.8,kg,JUST ESSENTIALS by ASDA Batter Mix,20240413,food_cupboard,True,False,JUST ESSENTIALS by ASDA Batter Mix,Just Essentials by ASDA,value,Just Essentials,,,,125.0,g,,True,,,,Batter Mix,batter mix
Morrisons,6.0,7.98,l,Barefoot Pink Moscato Rose Wine,20240413,drinks,False,False,Barefoot Pink Moscato Rose Wine,,,,Barefoot,,,751.9,ml,,True,,,,Pink Moscato Rose Wine,pink moscato rose wine
Morrisons,3.79,1.26,kg,Allinson Strong White Flour,20240413,food_cupboard,False,False,Allinson Strong White Flour,,,,Allinson,,,3007.9,g,,True,,,{'bakery_type': ['white']},Strong White Flour,strong white flour
Sains,4.0,31.3,kg,Häagen-Dazs Salted Caramel Ice Cream Bites 8x15g,20240413,free-from,False,False,Häagen-Dazs Salted Caramel Ice Cream Bites 8x15g,,,,,8.0,count_x_size,120.0,g,,False,,,,Häagen-Dazs Salted Caramel Ice Cream Bites,haagen dazs salted caramel ice cream bites
Morrisons,3.79,0.95,unit,Al Fez Harissa Wrap Kit,20240413,food_cupboard,False,False,Al Fez Harissa Wrap Kit,,,,Al Fez,,,,,,False,,,,Harissa Wrap Kit,harissa wrap kit
Morrisons,5.99,5.99,unit,Vuse Go Edition 01 Mint Ice 20mg,20240319,drinks,False,False,Vuse Go Edition 01 Mint Ice 20mg,,,,,,,,,,False,,,,Vuse Go Edition 01 Mint Ice 20mg,vuse go edition 01 mint ice 20mg
ASDA,2.7,10.8,kg,ASDA Cheshire Cheese,20240118,fresh_food,True,False,ASDA Cheshire Cheese,ASDA,standard,,,,,250.0,g,,True,,,,Cheshire Cheese,cheshire cheese
Morrisons,0.75,17.9,kg,Kit Kat Chunky Peanut Butter,20240413,food_cupboard,False,False,Kit Kat Chunky Peanut Butter,,,,Kit Kat,,,41.9,g,,True,,,{'texture': ['chunky']},Chunky Peanut Butter,chunky peanut butter
Morrisons,1.99,9.5,kg,Pukka All Day Breakfast Pie,20240412,fresh_food,False,False,Pukka All Day Breakfast Pie,,,,Pukka,,,209.5,g,,True,,,,All Day Breakfast Pie,all day breakfast pie
Sains,12.0,12.0,unit,Sainsbury's Outdoor Novelty Mum & Baby Tete a Tete 9cm,20240309,fresh_food,True,False,Sainsbury's Outdoor Novelty Mum & Baby Tete a Tete 9cm,Sainsbury's,standard,,,,,,,,False,,,,Outdoor Novelty Mum and Baby Tete a Tete 9cm,outdoor novelty mum and baby tete a tete 9cm
Sains,4.0,4.0,l,Red Bull Energy Drink Sugar Free 250ml x4,20240413,drinks,False,False,Red Bull Energy Drink Sugar Free 250ml x4,,,,Red Bull,4.0,x_count,250.0,ml,,False,diet,sugar free,,Energy Drink,energy drink
Sains,1.35,1.4,l,Rubicon Lychee Fruit Juice Drink 1L,20240330,free-from,False,False,Rubicon Lychee Fruit Juice Drink 1L,,,,Rubicon,,,1000.0,ml,,False,,,,Lychee Fruit Juice Drink,lychee fruit juice drink
Tesco,1.75,19.4,kg,Kind Fruit & Nut 3X30g,20240413,food_cupboard,False,False,Kind Fruit & Nut 3X30g,,,,Kind,3.0,count_x_size,90.0,g,,False,,,,Fruit and Nut,fruit and nut
Sains,2.85,9.7,kg,Dr. Oetker Science Crazy Colour Changing Icing Cupcake Mix 295g,20240413,food_cupboard,False,False,Dr. Oetker Science Crazy Colour Changing Icing Cupcake Mix 295g,,,,Dr. Oetker,,,295.0,g,,False,,,,Science Crazy Colour Changing Icing Cupcake Mix,science crazy colour changing icing cupcake mix
ASDA,1.95,14.1,kg,Jacob's Crinkly's Cheese & Onion Flavour Baked Snacks Multipack 6x23g,20240413,food_cupboard,False,False,Jacob's Crinkly's Cheese & Onion Flavour Baked Snacks Multipack 6x23g,,,,Jacob'S,6.0,count_x_size,138.0,g,,False,,,"{'cooking_method': ['baked'], 'packaging': ['multipack']}",Crinkly's Cheese and Onion Flavour Baked Snacks Multipack,crinkly s cheese and onion flavour baked snacks multipack
Morrisons,4.25,28.33,kg,Morrisons Fishmongers Frozen Raw Peeled Argentinian Red Shrimp,20240306,fresh_food,True,False,Morrisons Fishmongers Frozen Raw Peeled Argentinian Red Shrimp,Morrisons,standard,,,,,150.0,g,,True,,,{'form': ['peeled']},Fishmongers Frozen Raw Peeled Argentinian Red Shrimp,fishmongers frozen raw peeled argentinian red shrimp
Tesco,4.0,13.3,kg,Bisto Chicken Gravy Granules 300g,20240413,food_cupboard,False,False,Bisto Chicken Gravy Granules 300g,,,,Bisto,,,300.0,g,,False,,,,Chicken Gravy Granules,chicken gravy granules
Tesco,10.0,13.3,l,Hardys Tintara Cabernet Sauvignon 750Ml,20240413,drinks,False,False,Hardys Tintara Cabernet Sauvignon 750Ml,,,,Hardys,,,750.0,ml,,False,,,,Tintara Cabernet Sauvignon,tintara cabernet sauvignon
ASDA,3.2,4.6,kg,ASDA Everyday 240 Tea Bags,20240413,drinks,True,False,ASDA Everyday 240 Tea Bags,ASDA,standard,,,240.0,bag_count,695.7,g,,True,,,,Everyday,everyday
Sains,2.7,5.4,kg,Fudco Idli Instant Mix 500g,20240413,food_cupboard,False,False,Fudco Idli Instant Mix 500g,,,,Fudco,,,500.0,g,,False,,,,Idli Instant Mix,idli instant mix
ASDA,2.4,4.8,kg,ASDA Extra Special Coleslaw,20240413,fresh_food,True,False,ASDA Extra Special Coleslaw,ASDA Extra Special,premium,Extra Special,,,,500.0,g,,True,,,,Coleslaw,coleslaw
Morrisons,1.69,15.5,kg,Idahoan Perfect Mash Cheddar Cheese (109g),20240413,food_cupboard,False,False,Idahoan Perfect Mash Cheddar Cheese (109g),,,,Idahoan,,,109.0,g,,False,,,,Perfect Mash Cheddar Cheese,perfect mash cheddar cheese
Tesco,3.5,4.0,kg,Natco Ground Coriander 1kg,20240413,food_cupboard,False,False,Natco Ground Coriander 1kg,,,,Natco,,,1000.0,g,,False,,,{'form': ['ground']},Ground Coriander,ground coriander
ASDA,2.0,0.2,unit,The BAKERY at ASDA 10 Chocolate Chip Madeleines,20240413,bakery,True,False,The BAKERY at ASDA 10 Chocolate Chip Madeleines,The BAKERY at ASDA,standard,,,,,,,,False,,,,10 Chocolate Chip Madeleines,10 chocolate chip madeleines
Morrisons,1.95,2.0,l,Morrisons 100% Orange Juice with Bits,20240413,fresh_food,True,False,Morrisons 100% Orange Juice with Bits,Morrisons,standard,,,,,975.0,ml,100.0,True,,,,Orange Juice with Bits,orange juice with bits
Morrisons,2.0,2.0,l,Robinsons Fruit & Barley Peac…,20240413,drinks,False,True,Robinsons Fruit & Barley Peac…,,,,Robinsons,,,1000.0,ml,,True,,,,Fruit and Barley Peac…,fruit and barley peac
Sains,4.25,0.5,l,Buxton Still Natural Bottled Mineral Water 6x1.5L,20240413,drinks,False,False,Buxton Still Natural Bottled Mineral Water 6x1.5L,,,,Buxton,6.0,count_x_size,9000.0,ml,,False,,,,Still Natural Bottled Mineral Water,still natural bottled mineral water
ASDA,2.0,18.2,kg,Eat Real Hummus Chips Tomato + Basil Flavour 110g,20240331,food_cupboard,False,False,Eat Real Hummus Chips Tomato + Basil Flavour 110g,,,,Eat Real,,,110.0,g,,False,,,,Hummus Chips Tomato + Basil Flavour,hummus chips tomato basil flavour
Tesco,2.25,26.5,kg,Popworks Sweet Chipotle Chilli Sharing Bag Popped Crisps 85g,20240409,food_cupboard,False,False,Popworks Sweet Chipotle Chilli Sharing Bag Popped Crisps 85g,,,,Popworks,,,85.0,g,,False,,,{'flavor': ['sweet']},Sweet Chipotle Chilli Sharing Bag Popped Crisps,sweet chipotle chilli sharing bag popped crisps
Sains,3.0,16.7,kg,Rhokett Chocolate & Caramel Cheesecake Slices 180g,20240209,free-from,False,False,Rhokett Chocolate & Caramel Cheesecake Slices 180g,,,,,,,180.0,g,,False,,,,Rhokett Chocolate and Caramel Cheesecake Slices,rhokett chocolate and caramel cheesecake slices
ASDA,0.75,10.0,kg,Ainsley Harriott Cream of Wild Mushroom Cup Soup,20240413,food_cupboard,False,False,Ainsley Harriott Cream of Wild Mushroom Cup Soup,,,,Ainsley Harriott,,,75.0,g,,True,,,,Cream of Wild Mushroom Cup Soup,cream of wild mushroom cup soup
Morrisons,2.0,8.93,kg,Birds Eye 8 Battered Fish Fingers,20240413,frozen,False,False,Birds Eye 8 Battered Fish Fingers,,,,Birds Eye,,,224.0,g,,True,,,{'texture': ['battered']},8 Battered Fish Fingers,8 battered fish fingers
