cluster_id,same_sku,reason,cluster_size,supermarkets,risk_bucket,flags,titles_preview
6576,True,"Same branded product, same variant and pack size across retailers",3,ASDA|Sains|Tesco,weak_heuristic,multi_core_product_name,Lucozade Sport Zero Orange & Peach 4 x 500ml || Lucozade Sport Drink Zero Orange & Peach 4x500ml || Lucozade Sport Zero Sugar Orange & Peach 4X500ml
7411,True,"Same branded product, same variant and pack size across retailers",2,ASDA|Sains,clean,,Milky Way Nougat & Milk Chocolate Snack Bars Multipack 12 x 21.5g || Milky Way Nougat & Milk Chocolate Snack Bars Multipack 12x21.5g
377,False,Different product types - organic vs midi cucumber,2,ASDA|Sains,weak_heuristic,multi_core_product_name,ASDA Organic Cucumber || Sainsbury's Midi Cucumber
7629,False,Different own-brand premium tiers from different retailers,4,ASDA|Morrisons|Sains|Tesco,clean,,"ASDA Extra Special Blackcurrant Conserve || Morrisons The Best Blackcurrant Conserve || Sainsbury's Blackcurrant Conserve, Taste the Difference 340g || Tesco Finest Blackcurrant Conserve 340G"
3510,True,"Same branded product, same variant across retailers",2,ASDA|Tesco,weak_heuristic,multi_core_product_name,Cadbury Layers of Joy Chocolate Trifles || Cadbury Layers Of Joy Chocolate Dessert 2 X90g
626,False,Different own-brand premium tiers from different retailers,4,ASDA|Morrisons|Sains|Tesco,weak_heuristic|probe_fail,multi_core_product_name,"ASDA Extra Special British Pork Sausage Rolls || Morrisons The Best Pork Sausage Rolls || Sainsbury's Pork Sausage Rolls, Taste The Difference x4 188g || Tesco Finest 4 Pork Sausage Rolls 188G"
5347,False,Different pastry types - puff vs shortcrust,3,ASDA|Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,ASDA Ready Rolled Puff Pastry || Sainsbury's Ready Rolled Shortcrust Pastry 320g || Tesco Ready Rolled Puff Pastry 320G
997,True,"Same branded product, same variant across retailers",3,ASDA|Morrisons|Tesco,weak_heuristic,multi_core_product_name,Dr. Oetker Madagascan Vanilla Extract || Dr. Oetker Madagascan Vanilla Extract || Dr.Oetker Madagascan Vanilla Extract 35Ml
8414,True,"Same branded product, same variant across retailers",2,ASDA|Tesco,weak_heuristic,multi_core_product_name,Spitfire Shepherd Neame Amber Ale || Spitfire Amber Ale 500Ml
14558,True,"Same branded product, same variant and pack size",2,Sains|Tesco,weak_heuristic,multi_core_product_name,Princes Drained & Ready to Use Tuna Steak with a Little Spring Water 3 || Princes Drained Tuna Steak In Spring Water 3X110g
13433,False,Different own-brand products from different retailers,2,Morrisons|Tesco,weak_heuristic,multi_core_product_name,Morrisons Ripe & Ready To Eat Mango || Tesco Ripe And Ready 2 Pack Mango
515,True,"Same branded product, same variant across retailers",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Warburtons Sliced Soft White Rolls || Warburtons Sliced Soft White Rolls || Warburtons Sliced White Rolls x12 || Warburtons White Sliced Sandwich Rolls 12 Pack
7326,True,"Same branded product, same variant across retailers",2,ASDA|Morrisons,weak_heuristic,multi_core_product_name,Cadbury Wispa Gold Chocolate Bars 4 Pack || Cadbury Wispa Gold Chocolat…
1078,True,"Same branded product, variant and pack size",2,ASDA|Tesco,weak_heuristic|probe_fail,multi_core_product_name|struct_known_brand_disagree,Dr. Oetker Chocolatey Dinosaurs White Chocolate Flavour || Dr Oetker 12 White Chocolatey Dinosaurs 20G
2599,True,"Same wine brand and rosé variant, comparable 750ml bottles",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic|probe_fail,multi_core_product_name,La Vieille Rosé || La Vieille Ferme Rose || La Vieille Ferme Rosé 75cl || La Vieille Ferme Rose Wine 750Ml
1368,True,"Same branded product, basmati microwave rice variant, comparable pack sizes",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic|probe_fail,multi_core_product_name|struct_known_brand_disagree,Ben's Original Basmati Microwave Rice || Bens Original Basmati Microwave Rice || Ben's Original Classic Basmati Microwave Rice 220g || Ben's Original Basmati Microwave Rice 220g
6505,True,"Same branded energy drink, tropical guava variant, 500ml can",2,ASDA|Tesco,weak_heuristic,multi_core_product_name,Rockstar Punched Tropical Guava Flavour Energy Drink Can || Rockstar Energy Drink Punched Tropical Guava 500ml
14215,True,"Own-brand sweetcorn, same tier, comparable pack sizes (198g vs 200g)",2,Sains|Tesco,weak_heuristic,multi_core_product_name,Sainsbury's Naturally Sweet Sweetcorn In Water 198g (157g*) || Tesco Naturally Sweet Sweetcorn 200G
1492,True,"Same branded biscuits, milk chocolate variant, comparable 75g packs",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic,multi_core_product_name,LU Mikado Milk Chocolate Biscuits || Mikado Milk Chocolate Biscuits || Mikado Milk Chocolate Biscuits 75g || Mikado Milk Chocolate Biscuits 75G
313,False,Different brands (Truvia vs Purevia),2,ASDA|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Truvia Caster Sugar Alternative || Purevia Caster Sugar Alternative 370G
15328,True,"Same branded product, breakfast seed crunch variant, 150g pack",2,Sains|Tesco,weak_heuristic,multi_core_product_name,Naturya Superfood Breakfast Boost Seed Crunch 150g || Naturya Super Food Breakfast Seed Crunch 150G
4224,False,Different brands (ASDA own-brand vs Stamford Street Co.),2,ASDA|Sains,probe_fail,,JUST ESSENTIALS by ASDA Mushy Peas || Stamford Street Co. Mushy Peas 300g
17900,False,Different premium tiers (Extra Special vs Taste the Difference vs Finest),3,ASDA|Sains|Tesco,weak_heuristic,multi_core_product_name,"ASDA Extra Special 8 Unsmoked British Bacon Wiltshire Cured || Sainsbury's Wiltshire Cured Unsmoked British Back Bacon, Taste the Dif || Tesco Finest Unsmoked Wiltshire Cured Back Bacon 8 Pack 240G"
8637,True,"Same branded product, cheezie cheese variant, comparable pack sizes",3,ASDA|Morrisons|Sains,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Mister Free'd Tortilla Chips Cheezie Cheese Flavour || Mister Freed Cheezie Cheese… || Mister Free'd Tortilla Chips Cheezie Cheese Flavour 135g
5753,True,"Same branded vegan sweets, fruit flavour variant, comparable pouch sizes",3,ASDA|Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Skittles Vegan Chewy Sweets Fruit Flavoured Pouch Bag || Skittles Vegan Chewy Sweets Fruit Flavoured Pouch Bag 136g || Skittles Chewies Vegan Sweets Fruit Pouch Bag 137g
2257,True,"Same branded spirit, Caribbean spiced variant, comparable 700ml bottles",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic,multi_core_product_name,Bacardi Caribbean Spiced Spirit Drink || Bacardi Caribbean Spiced || Bacardi Caribbean Spiced Spirit Drink 70cl || Bacardi Caribbean Spiced Rum 700Ml
15915,True,"Same branded smoothies, cherries/strawberries/apples variant, 4x150ml pack",2,Sains|Tesco,weak_heuristic,multi_core_product_name,"Innocent Kids Smoothies, Cherries, Strawberries & Apples 4x150ml || innocent Kids Smoothies Cherries, Strawberries & Apples 4 x 150ml"
17028,False,Own-brand cheese slices but different fat reduction levels (lighter vs 30% reduced),2,Sains|Tesco,weak_heuristic,multi_core_product_name,Sainsbury's Lighter Mature Cheese Slices 240g || Tesco 30% Reduced Fat Mature Cheese Slices 250G
8868,False,Different pack formats (giant gift box vs standard 232g),2,ASDA|Sains,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Cadbury Mini Eggs Giant Chocolate Gift Box Easter Egg || Cadbury Mini Eggs Chocolate Easter Egg 232g
11830,True,"Same branded seasoning, garlicky variant, comparable pack sizes",2,Morrisons|Tesco,weak_heuristic,multi_core_product_name,Cornish Sea Salt Really Garlicky Seasoning || Cornish Sea Salt Really Garlicky Sea Salt 55G
2313,True,"Same branded tequila, plata 100% agave variant, comparable 700ml bottles",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic,multi_core_product_name,Olmeca Altos 100% Agave Plata Tequila 70cl || Olmeca Altos 100% Agave Plata Tequila || Olmeca Altos 100% Agave Plata Tequila 70cl || Olmeca Altos Plata Tequila 700ml
16615,True,"Same branded cheese, brie variant, 200g pack",2,Sains|Tesco,weak_heuristic|probe_fail,cross_category,Le Rustique Brie 200g || Le Rustique Brie 200G
1945,True,"Same branded noodles, vindaloo flavour variant, comparable pack sizes",2,ASDA|Sains,weak_heuristic,multi_core_product_name,Batchelors Super Noodles Vindaloo Flavour || Batchelors Super Noodles Vindaloo Flavour Instant Noodle Pot 75g
16315,True,"Same branded product, variant and pack size",2,Sains|Tesco,weak_heuristic,multi_core_product_name,Malibu Cocktail Strawberry Daiquiri Sparkling 250ml || Malibu Sparkling Strawberry Daquiri Cocktail 250Ml
10923,True,"Same branded product and variant, comparable pack sizes",2,Morrisons|Sains,weak_heuristic,multi_core_product_name,Skips Prawn Cocktail Mulitpack Crisps || Skips Prawn Cocktail 6x13.1g
6052,True,"Same core product, both premium tier, comparable pack size",2,ASDA|Tesco,clean,,ASDA Extra Special 4 All Butter Croissants || Tesco Finest All Butter Croissants 4 Pack
8766,True,"Same branded product, variant and pack size",2,ASDA|Sains,clean,,Lindt 5 Gold Bunny Milk Chocolate || Lindt 5 Gold Bunny Milk Chocolate 50g
5815,True,"Same branded product, variant and pack size",2,ASDA|Sains,weak_heuristic|probe_fail,cross_category,Blue Dragon Thai Red Curry Meal Kit || Blue Dragon Thai Red Curry Meal Kit 253g
1664,False,Different pack weights (138g vs 139.25g total),2,ASDA|Tesco,weak_heuristic|probe_fail,multi_core_product_name|struct_known_brand_disagree,Fox's Rocky Orange Bars 7 x 19.75g || Foxs Rocky Orange Biscuit Bar 7 Pack 138G
2145,True,"Same branded product, variant and pack size",2,ASDA|Sains,weak_heuristic,multi_core_product_name,Castello Taste of Hawaii Pineapple & Almond Cream Cheese Ring || Castello Pineapple & Almond Cream Cheese Ring 125g
6089,False,Different own-brand products from different retailers,2,ASDA|Morrisons,weak_heuristic,multi_core_product_name,The BAKERY at ASDA 4 Large Finger Rolls || Morrisons Finger Rolls
8488,True,Same branded product and variant,2,ASDA|Morrisons,weak_heuristic,multi_core_product_name,BrewDog Hazy Jane Guava || BrewDog Hazy Jane Beer Can
5755,True,"Same branded product, variant and comparable pack size",2,ASDA|Sains,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Skittles Vegan Chewy Sweets Fruit Flavoured Pouch Bag 136g || Skittles Chewies Vegan Sweets Fruit Flavoured Pouch Bag 137g
15124,True,"Same branded product, variant and pack size",2,Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Fridge Raiders Southern Style Chicken Snack Bites 5x 22.5g || Fridge Raiders Southern Style Chicken Bites 5 X 22.5G
2449,True,"Same branded product, variant and pack size",3,ASDA|Sains|Tesco,weak_heuristic,multi_core_product_name,Aberlour 12 Years Old Speyside Single Malt Scotch Whisky || Aberlour 12 Year Old Single Malt Scotch Whisky 70cl || Aberlour Distillery 12 Years Old Speyside Single Malt Scotch Whisky 70
3701,True,"Same branded product, variant and pack size",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic,multi_core_product_name,Herta Chicken Frankfurter || Herta Chicken Frankfurter 10 Pack || Herta Chicken Frankfurter Hot Dogs x10 350g || Herta Chicken Frankfurter Hot Dogs 10 Pack 350G
8829,True,"Same branded product, variant and pack size",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Alpro Coconut No Sugars Chilled Drink 1L || Alpro Coconut No Sugars Chilled Drink || Alpro Coconut No Sugars Chilled Drink 1L || Alpro Coconut No Sugar Chilled Dairy Free Drink 1L
16427,False,Different product formats (super thick vs standard natural yogurt),3,ASDA|Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Yeo Valley Organic Super Thick Creamy Yogurt Natural || Yeo Valley Organic Natural Yogurt 4x110g || Yeo Valley Organic Natural Yogurt 450G
14870,True,"Same branded product, variant and pack size",2,Sains|Tesco,weak_heuristic,multi_core_product_name,Garner's Pickled Shallots 300g (160g*) || Garners Pickled Shallots 300G
11962,False,Different own-brand products from different retailers,2,Morrisons|Sains,weak_heuristic,multi_core_product_name,"Morrisons The Best Barbera D'Asti || Sainsbury's Barbera d'Asti, Taste The Difference 75cl"
11271,True,"Same core product, both standard tier, same pack size",2,Morrisons|Tesco,weak_heuristic,multi_core_product_name,Morrisons Pimiento-Stuffed Olives (340g) || Tesco Pimiento Stuffed Olives In Brine 340G
6066,True,"Same core product, standard tier, comparable pack size",3,ASDA|Sains|Tesco,weak_heuristic|probe_fail,multi_core_product_name,The BAKERY at ASDA Soft White Medium Sliced Bread || Sainsbury's Soft Medium Sliced White Bread 800g || Tesco White Bread 800G
7296,True,"Same branded product, variant and pack size",3,ASDA|Sains|Tesco,weak_heuristic,multi_core_product_name,Toblerone White Sharing Chocolate Bar || Toblerone White Chocolate Bar 360g || Toblerone White Chocolate Bar 360g
1377,True,"Same branded product, variant, and comparable pack size across retailers",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic|probe_fail,struct_known_brand_disagree,Ben's Original Roasted Garlic Microwave Rice || Bens Original Roasted Garlic Microwave Rice || Ben's Original Roasted Garlic Microwave Rice 220g || Ben's Original Roasted Garlic Microwave Rice 220g
967,True,"Same branded product, variant, and pack size across retailers",3,ASDA|Sains|Tesco,weak_heuristic,multi_core_product_name,Creative Nature Wholegrain Banana Bread Baking Mix || Creative Nature Whole Grain Banana Bread Mix 250g || Creative Nature Wholegrain Banana Bread Baking Mix 250G
5348,False,Different pastry types: shortcrust vs puff,2,ASDA|Tesco,weak_heuristic,multi_core_product_name,Jus-Rol Shortcrust Pastry Ready Rolled Sheet || Jus-Rol Puff Pastry Ready Rolled Sheet 320G
5464,True,"Same branded product, variant, and pack size",2,ASDA|Sains,clean,,Sensations Roast Chicken & Thyme Sharing Crisps 150g || Sensations Roast Chicken & Thyme Sharing Crisps 150g
8559,True,"Same branded product, variant, and pack size",2,ASDA|Sains,weak_heuristic|probe_fail,cross_category,Quorn Fillet Pieces 175g || Quorn Fillet Pieces 175g
16817,False,Different own-brand products from different retailers with different recipes,2,Sains|Tesco,weak_heuristic,multi_core_product_name,Sainsbury's Red Cabbage with Apple and Redcurrant Jelly 300g || Tesco Red Cabbage & Apple 300G
1845,True,"Same branded product, variant, and comparable pack size across retailers",4,ASDA|Morrisons|Sains|Tesco,clean,,Robinsons Pressed Pear & Elderflower Fruit Cordial || Robinsons Pressed Pear & Elderflower Fruit Cordial || Robinsons Pressed Pear & Elderflower Fruit Cordial 500ml || Robinsons Pressed Pear & Elderflower Fruit Cordial 500ml
5715,True,"Same branded product, variant, and pack size across retailers",3,ASDA|Sains|Tesco,clean,,This Isn't Chicken Pieces 170g || This Isn't Chicken Plant Based Pieces 170g || This Isn't Chicken Plant Based Pieces 170G
741,False,Different variants: Pizza Chicken vs Southern Style Chicken,2,ASDA|Tesco,weak_heuristic,multi_core_product_name,Fridge Raiders Pizza Chicken Bites 70g || Fridge Raiders Southern Style Chicken Bites 3X22.5G
825,True,"Same branded product, variant, and pack size across retailers",3,ASDA|Sains|Tesco,weak_heuristic,multi_core_product_name,Tropicana Pure Orange & Mango Fruit Juice || Tropicana Pure Orange & Mango Fruit Juice 850ml || Tropicana Orange & Mango Juice 850Ml
13244,True,"Same own-brand tier product, variant, and comparable pack size",3,Morrisons|Sains|Tesco,clean,,Morrisons Smoked Back Bacon Rashers 10 Pack || Sainsbury's Smoked Back Bacon Rashers x10 300g || Tesco Smoked Back Bacon Rashers 300G
15120,True,"Same branded product, variant, and pack size",2,Sains|Tesco,weak_heuristic,multi_core_product_name,Forest Feast Preda Fair Trade Mango 100g || Forest Feast Preda Fair-Trade Dried Mango 100G
14956,True,"Same branded product, variant, and pack size",2,Sains|Tesco,clean,,Stoats Raspberry & Honey Porridge Oat Bars 4x42g || Stoats Raspberry & Honey Porridge Oat Bars 4 x 42g (168g)
9608,True,Same branded product and variant across retailers,2,Morrisons|Tesco,weak_heuristic,multi_core_product_name,Telma Kneidl Matzo Ball Mix || Telma Matzo Ball Mix 84G
1025,True,Same branded product and comparable pack size across retailers,4,ASDA|Morrisons|Sains|Tesco,weak_heuristic|probe_fail,cross_category,Dr. Oetker Liquid Glucose || Dr. Oetker Liquid Glucose || Dr. Oetker Liquid Glucose 140g || Dr. Oetker Liquid Glucose 140G
3779,False,Different pack sizes: 515g vs 575g indicates different SKUs,4,ASDA|Morrisons|Sains|Tesco,weak_heuristic,multi_core_product_name,Nestle Cheerios Honey || Nestle Honey Cheerios || Nestle Honey Cheerios Cereal 515g || Nestlé Cheerios Honey Cereal 575g
14158,True,Same branded product and variant across retailers,2,Morrisons|Sains,clean,,Cadbury Creme Egg Chocolate || Cadbury Creme Egg Chocolate 5pk 200G
8015,True,Same branded product and variant across retailers,2,ASDA|Morrisons,weak_heuristic,multi_core_product_name,Cofresh Sweet Saker Para || Cofresh Sweet Saker Para Snacks
10762,True,Same own-brand tier product and comparable pack size,2,Morrisons|Sains,clean,,Morrisons Hot Paprika || Sainsbury's Hot Paprika 44g
2557,False,Different own-brand tiers: Extra Special vs Taste the Difference,2,ASDA|Sains,weak_heuristic|probe_fail|low_conf|text_sim_crash,multi_core_product_name,"ASDA Extra Special Crémant d'Alsace Brut || Sainsbury's Cremant d’Alsace, Taste the Difference 75cl"
856,True,"Same branded product, variant and pack size across retailers",3,ASDA|Sains|Tesco,clean,,Fruit Shoot Summer Fruits Kids Juice Drink || Fruit Shoot Summer Fruits Kids Juice Drink 8x200ml || Fruit Shoot Summer Fruits Kids Juice Drink 8x200ml
13999,True,"Same branded product and variant, comparable pack size",2,Morrisons|Tesco,weak_heuristic|probe_fail,multi_core_product_name|struct_known_brand_disagree,Rowntrees Tropical Tots || Rowntree's Tropical Tots Sweets Sharing Bag 140g
2890,False,Vegan vs Crunchy variants are different,3,ASDA|Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Quorn Roarsomes Vegan Dinosaurs || Quorn Roarsomes Crunchy Dinosaurs 240g || Quorn Roarsomes Vegan Dinosaurs 240G
12000,False,Ruby Ale vs Ale are different variants,2,Morrisons|Sains,weak_heuristic,multi_core_product_name,Badger The Cranborne Poacher Ruby Ale || Badger The Cranborne Poacher Ale 500ml
17624,True,"Own-brand equivalents, same core product and pack size",2,Sains|Tesco,weak_heuristic,multi_core_product_name,Sainsbury's Millionaire Cake Bites x22 || Tesco Millionaire Bites 22 Pack
11632,True,Same branded product and variant across retailers,2,Morrisons|Tesco,clean,,Very Lazy Ginger || Very Lazy Ginger 190G
10350,False,Different own-brand tiers (The Best vs Finest) and formats,2,Morrisons|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Morrisons The Best Caled Vintage Cheddar || Tesco Finest Vintage Cheddar Boule
950,False,Raw Defence vs Vitalise are different variants,2,ASDA|Sains,weak_heuristic,multi_core_product_name,Mockingbird Raw Press Raw Defence Virgin Smoothie || Mockingbird Raw Press Vitalise Virgin Smoothie 750ml
4746,False,"Different own-brand tiers (Extra Special, The Best, Taste the Difference, Finest)",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic|probe_fail,multi_core_product_name,"ASDA Extra Special Chicken Gravy || Morrisons The Best Chicken Gravy || Sainsbury's Chicken Gravy Pouch, Taste the Difference 350g || Tesco Finest Chicken Gravy 350Ml"
5992,True,"Same branded product and variant, comparable pack size",2,ASDA|Morrisons,weak_heuristic|probe_fail,cross_category,Warburtons Grained Farmhouse 800g || Warburtons Grained Farmhouse
6608,True,"Same branded product, variant and pack size across retailers",2,ASDA|Tesco,weak_heuristic,multi_core_product_name,WKD Cocktails Tropical Sunrise || WKD Cocktails Tropical Sunrise Ready to Drink Premix 700ml
5201,True,Same branded product and variant across retailers,2,ASDA|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Yazoo Vanilla Flavoured Milk || Yazoo Vanilla Milk 400Ml
6003,True,"Same branded product and variant, comparable pack size",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic,multi_core_product_name,Mr Kipling Country Slices || Mr Kipling Country Slices || Mr Kipling Country Cake Slices x6 || Mr Kipling Country Slices 6 Pack
14034,False,Milk Chocolate vs standard Madeleine are different variants,2,Morrisons|Tesco,weak_heuristic,multi_core_product_name,Bonne Maman Madeleine With Milk Chocola… || Bonne Maman La Madeleine 7 Pack
10122,True,"Own-brand equivalents, same core product and pack size",2,Morrisons|Sains,clean,,Morrisons Pitted Green Olives || Sainsbury's Pitted Green Olives 120g
14954,True,"Same branded product, variant and pack size across retailers",2,Sains|Tesco,weak_heuristic|probe_fail,cross_category,Nescafe Dolce Gusto Americano Intenso Coffee Pods x16 || Nescafe Dolce Gusto Americano Intenso Coffee Pods x16 132.8g
1092,True,Same branded product and variant across retailers,3,ASDA|Morrisons|Sains,clean,,KTC Rose Water || KTC Rose Water || KTC Rose Water 190ml
2550,True,"Same branded product and variant, comparable pack size",4,ASDA|Morrisons|Sains|Tesco,weak_heuristic,multi_core_product_name,Jam Shed Tempranillo Wine || Jam Shed Spanish Tempranillo || Jam Shed Tempranillo 75cl || Jam Shed Tempranillo 750Ml
764,True,"Same branded product and variant, comparable pack size",3,ASDA|Sains|Tesco,weak_heuristic|probe_fail,cross_category|multi_core_product_name,Lucozade Zero Pink Lemonade Energy Drink || Lucozade Zero Pink Lemonade 500ml || Lucozade Energy Zero Pink Lemonade 500Ml
6068,True,"Own-brand equivalents, same core product and pack size",3,ASDA|Sains|Tesco,weak_heuristic,multi_core_product_name,The BAKERY at ASDA 4 Ciabatta Rolls || Sainsbury's Stonebaked Ciabatta Rolls x4 || Tesco 4 Ciabatta Rolls
