cluster_id,tier,llm_pass,reason,q1,q2,q3
507,llm_verify,True,Same branded product (Tuc Sandwich Snack Crackers) across two retailers; identical weight 150g; Q3 N/A (all branded).,Yes,Yes,Yes
510,llm_verify,False,ASDA 'Egg & Bacon in Mayonnaise' (sandwich/salad format) differs from Sainsbury's 'Egg & Bacon Muffin' (muffin format)—different product types.,No,Yes,Yes
516,llm_verify,True,Same branded product (Oreo Original Chocolate Sandwich Biscuits) across two retailers; variance 2.6% within 15%; Q3 N/A (all branded).,Yes,Yes,Yes
526,llm_verify,True,Identical branded Starbucks plant-based iced coffee product across retailers; all branded so Q3 N/A,Yes,Yes,Yes
535,llm_verify,False,Different Rustlers burger variants: 'The Mighty Double Decker' vs 'The Flame Grilled Double Decker' are distinct products,No,Yes,Yes
538,llm_verify,True,Identical branded Oreo Stick Sandwich ice cream 4-pack across retailers; pack count irrelevant to Q1,Yes,Yes,Yes
540,llm_verify,True,Same branded Oreo Choco Brownie sandwich biscuit product; minor naming variations acceptable; weight variance 3.1% within tolerance,Yes,Yes,Yes
542,llm_verify,True,Identical branded Warburtons Gluten Free brioche rolls; size data unavailable treated as comparable,Yes,Yes,Yes
566,llm_verify,True,Identical branded Tropicana Pure Smooth Orange juice 300ml across all retailers; minor naming variations acceptable,Yes,Yes,Yes
573,llm_verify,True,Identical branded Copella Cloudy Apple juice 300ml; 'Cloudy Apple' vs 'Apple' are same product variant,Yes,Yes,Yes
578,llm_verify,True,Identical branded McCoy's Flame Grilled Steak crisps 45g across retailers; minor naming variations acceptable,Yes,Yes,Yes
580,llm_verify,True,Identical branded McCoy's Ridge Cut Cheddar & Onion crisps 45g across retailers; minor naming variations acceptable,Yes,Yes,Yes
583,llm_verify,True,Identical branded McCoy's Salt & Malt Vinegar crisps 45g across retailers; 'Salt and Malt Vinegar' = 'Salt & Vinegar' same product,Yes,Yes,Yes
584,llm_verify,True,Same branded product (McCoy's Thai Sweet Chicken crisps); pack count differences irrelevant to Q1; all 45g grab bags.,Yes,Yes,Yes
600,llm_verify,True,Same branded product (Frubes Strawberry/Red Berry/Peach yogurt tubes); 9×37g multipack identical across retailers.,Yes,Yes,Yes
602,llm_verify,True,Same branded product (Wildlife Choobs Strawberry yogurt tubes); 6×37g pack identical across retailers.,Yes,Yes,Yes
604,llm_verify,True,Same core product (strawberry fromage frais pouches); both standard-tier own-brand; same tier comparison valid.,Yes,Yes,Yes
605,llm_verify,True,Same branded product (Frubes Strawberry yogurt tubes); 9×37g multipack; minor naming variation acceptable.,Yes,Yes,Yes
613,llm_verify,False,Different products: Strings & Things Yollies vs The Collective Suckies; different brands and product lines.,No,Yes,Yes
620,llm_verify,True,Same branded product (Pork Farms Medium Pork Pie); minor weight variance (295–300g) within 15%; pack count irrelevant.,Yes,Yes,Yes
622,llm_verify,True,"Same core product (Pork Farms 4 Mini Pork Pies); Branston Pickle variant is minor descriptor; size data unavailable, assume comparable.",Yes,Yes,Yes
643,llm_verify,False,Different product sizes: Small Pork Pie vs Original Pork Pie; different product lines despite same brand.,No,Yes,Yes
644,llm_verify,True,Same core product (2 Mini Melton Mowbray Pork Pies); all standard-tier own-brand; same tier comparison valid.,Yes,Yes,Yes
650,llm_verify,False,ASDA product is Cheese Triangles (x16 pack format); others are Cheese Spread (bulk). Different core product types.,No,Yes,Yes
656,llm_verify,True,All Dairylea Lunchers Ham & Cheese Snacks; minor naming variations acceptable; weights within tolerance.,Yes,Yes,Yes
663,llm_verify,False,Tesco product is 145g Cheese Spread (bulk); others are 125g Cheese Triangles (x8 pack). Different product types.,No,Yes,Yes
670,llm_verify,True,All Dairylea Lunchers Chicken & Cheese Snacks; minor naming variations acceptable; weights within tolerance.,Yes,Yes,Yes
698,llm_verify,False,Tesco is Cheestrings Twisted (branded Cheestrings); others are Strings & Things Cheestrings (different brand/product line).,No,Yes,Yes
700,llm_verify,True,All Dairylea Dunkers Jumbo Tubes Cheese Snacks; pack count differences irrelevant to Q1; weights within tolerance.,Yes,Yes,Yes
701,llm_verify,True,Both Strings & Things Cheestrings Twisted; same product; weights identical.,Yes,Yes,Yes
706,llm_verify,False,Sainsbury's product is Dunkers Jumbo Tubes (different format); ASDA/Morrisons are Dunkers Nachos. Different product types.,No,Yes,Yes
707,llm_verify,True,All Dairylea Dunkers Ritz Cheese Snacks; 'Baked' descriptor in Sainsbury's name is minor variant; weights identical.,Yes,Yes,Yes
708,llm_verify,False,Tesco is Cheestrings Twisted (branded Cheestrings); others are Strings & Things Cheestrings (different brand/product line).,No,Yes,Yes
710,llm_verify,True,"All Dairylea Dunkers Ritz cheese snacks, same branded product; pack count differences irrelevant to Q1; weight variance within tolerance.",Yes,Yes,Yes
711,llm_verify,True,"All Innocent Kids smoothies with strawberry, raspberry & apple; pack count irrelevant to Q1; identical total volume.",Yes,Yes,Yes
713,llm_verify,True,"All Dairylea Dunkers Breadsticks cheese snacks, same branded product; pack count irrelevant to Q1; weight variance within tolerance.",Yes,Yes,Yes
714,llm_verify,True,"All Innocent Kids smoothies with orange, mango & pineapple; pack count irrelevant to Q1; identical total volume.",Yes,Yes,Yes
718,llm_verify,True,"All Peperami Original Minis/5x20g format, same branded product; pack count irrelevant to Q1; identical total weight.",Yes,Yes,Yes
724,llm_verify,False,Sainsbury's product is 10x10g Lunchbox Minis (different format/size per unit) vs others' 5x20g or single 100g; different core product specification.,No,Yes,Yes
734,llm_verify,False,Sainsbury's and Tesco products are Jerky variants; ASDA is Snack Pack; different product type despite same weight.,No,Yes,Yes
754,llm_verify,False,Sainsbury's Monster Rossi VR46 is a licensed variant; ASDA Monarch and Morrisons Monarch are different flavours; not the same core product.,No,Yes,Yes
755,llm_verify,True,"Both Ribena Blackcurrant 500ml bottles, same branded product; identical weight.",Yes,Yes,Yes
756,llm_verify,True,"All Fanta Orange 500ml, same branded product; identical weight.",Yes,Yes,Yes
759,llm_verify,True,"All Walkers Quavers Cheese Snacks 34g, same branded product across retailers with minor naming variations.",Yes,Yes,Yes
762,llm_verify,False,Lucozade Energy Original vs Lucozade Energy Blue Burst are different flavours; Blue Burst is not the same core product.,No,Yes,Yes
768,llm_verify,True,"All Lipton Ice Tea Peach 500ml, same branded product with minor naming variations across retailers.",Yes,Yes,Yes
773,llm_verify,True,"All Walkers Squares Salt & Vinegar 40g, same branded product across retailers with minor naming variations.",Yes,Yes,Yes
775,llm_verify,True,"All Walkers Baked Prawn Cocktail 37.5g, same branded product with minor naming variations (Oven Baked vs Baked are synonymous).",Yes,Yes,Yes
780,llm_verify,True,"All Starbucks Caffe Latte Grande Iced Coffee 330ml, same branded product across retailers with minor naming variations.",Yes,Yes,Yes
781,llm_verify,True,"All Doritos Chilli Heatwave Tortilla Chips 48g, same branded product with negligible weight variance (0.2%).",Yes,Yes,Yes
792,llm_verify,True,All Monster Energy Zero Sugar 500ml; Lewis Hamilton edition is a licensed variant of the same base product.,Yes,Yes,Yes
799,llm_verify,False,Tropicana Original Orange with Bits vs Tropicana Pure Orange with Bits vs Tropicana Orange Smooth are different product variants (Smooth vs With Bits).,No,Yes,Yes
800,llm_verify,False,Monster Ultra Paradise vs Monster Ultra Rosa are different flavours; not the same core product.,No,Yes,Yes
808,llm_verify,True,All Juiceburst Apple 500ml; minor spelling variation (JUICEBURS) is acceptable retailer naming difference,Yes,Yes,Yes
810,llm_verify,True,Both Popchips BBQ potato snacks 23g; same branded product,Yes,Yes,Yes
816,llm_verify,True,Both Oasis Zero Exotic Fruit 500ml; minor naming variation (Fruits vs Fruit) acceptable,Yes,Yes,Yes
818,llm_verify,False,ASDA/Morrisons own-brand tropical juice vs Tesco Growers Harvest (different brand/range); Q1 fails on product type mismatch,No,Yes,No
823,llm_verify,True,All standard-tier own-brand pure apple juice 1L; same tier across retailers,Yes,Yes,Yes
825,llm_verify,True,All Tropicana Pure Tropical Fruit Juice 850ml; same branded product across all retailers,Yes,Yes,Yes
826,llm_verify,False,Tesco lists as 'Tropicana Pineapple Juice' (omits 'Sensations') while others are 'Tropicana Sensations Pineapple'; different product variants,No,Yes,Yes
827,llm_verify,True,All Rubicon Still Lychee Juice Drink; minor size variance (284ml vs 288ml) within 15%; same branded product,Yes,Yes,Yes
829,llm_verify,True,All Rubicon Deluxe Mango Juice Drink 1L; minor naming variations acceptable for same branded product,Yes,Yes,Yes
830,llm_verify,True,Both Rubicon Pomegranate Juice Drink; size variance 4% within 15%; same branded product,Yes,Yes,Yes
831,llm_verify,False,Tesco product includes 'Water' in name; different juice composition (pineapple & coconut vs pineapple & coconut water),No,Yes,Yes
837,llm_verify,False,Different products (Tropical Vibes vs Morrisons 100% Fruit); tier mismatch (unknown vs standard),No,Yes,No
838,llm_verify,True,All Tropicana Pressed Apple 1.5L; minor naming variations acceptable for branded product,Yes,Yes,Yes
840,llm_verify,False,ASDA 'No Bits' vs others 'with Bits'; different product specifications,No,Yes,Yes
842,llm_verify,False,Tesco 'Smooth Orange' vs ASDA/Sainsbury's 'with Extra Juicy Bits'; different product variants,No,Yes,Yes
846,llm_verify,False,Tesco 900ml vs others 850ml; size variance acceptable but product naming inconsistency suggests different variants,No,Yes,Yes
847,llm_verify,False,ASDA 'with Juicy Bits' vs others 'Smooth'; different product specifications,No,Yes,Yes
864,llm_verify,True,All KA Sparkling Fruit Punch 2L; minor naming variations acceptable for branded product,Yes,Yes,Yes
865,llm_verify,True,All standard-tier own-brand apple juice; same product type across retailers,Yes,Yes,Yes
869,llm_verify,False,Different juice types: ASDA/Morrisons summer fruits vs Tesco forest fruits; different fruit compositions,No,Yes,Yes
872,llm_verify,False,Q1 fails: Sainsbury's includes Baobab in recipe; ASDA does not. Different product variants.,No,Yes,Yes
877,llm_verify,True,"All Lipton Ice Tea Peach; branded product, same core recipe across retailers.",Yes,Yes,Yes
880,llm_verify,False,Q1 fails: ASDA Smooth vs Tesco With Bits are different product variants. Q3 fails: different own-brand recipes at same tier.,No,Yes,No
897,llm_verify,False,Q1 fails: ASDA and Morrisons from concentrate; Sainsbury's not from concentrate. Different product types. Q3 fails: recipe variance.,No,Yes,No
898,llm_verify,True,All smooth orange juice own-brand at standard tier; same core product type across retailers.,Yes,Yes,Yes
899,llm_verify,False,Q1 fails: ASDA and Tesco With Bits vs Morrisons and Sainsbury's Smooth are different product variants.,No,Yes,Yes
901,llm_verify,False,Q1 fails: ASDA 50% Fruit vs Morrisons 100% Fruit vs Tesco High Juice are different juice types. Q3 fails: recipe variance.,No,Yes,No
902,llm_verify,False,Q1 fails: ASDA Fruit Medley vs Sainsbury's/Tesco Prunes are different products. Q3 fails: different own-brand recipes.,No,Yes,No
905,llm_verify,False,Q1 fails: ASDA/Sainsbury's own-brand vs Cherrygood branded products are different product types. Q3 fails: branded vs own-brand tier mismatch.,No,Yes,No
907,llm_verify,False,Q1 fails: ASDA and Morrisons from concentrate vs Sainsbury's and Tesco not from concentrate are different product types. Q3 fails: recipe variance.,No,Yes,No
920,llm_verify,False,ASDA smooth vs Sainsbury's/Tesco with bits — different product variants,No,Yes,Yes
921,llm_verify,False,Copella branded vs Morrisons own-brand; tier mismatch (standard vs unknown branded),No,Yes,No
923,llm_verify,False,ASDA/Morrisons from concentrate vs Sainsbury's not from concentrate — different product types,No,Yes,No
924,llm_verify,False,ASDA with bits vs Sainsbury's smooth — different product variants,No,Yes,Yes
925,llm_verify,False,Dole 4-pack vs single unit — different pack formats/counts represent different products,No,Yes,Yes
926,llm_verify,False,ASDA smooth vs Sainsbury's with bits — different product variants,No,Yes,Yes
927,llm_verify,True,"Same branded product, minor size variance within tolerance",Yes,Yes,Yes
930,llm_verify,True,"Same branded Robinsons product across retailers, identical size",Yes,Yes,Yes
934,llm_verify,True,"Same branded Robinsons product across retailers, identical size",Yes,Yes,Yes
940,llm_verify,False,Different Naked Machine variants (Blue vs Ruby vs Rainbow) — distinct products,No,Yes,Yes
945,llm_verify,True,"All Innocent Mango & Passion Fruit Smoothie 750ml, same branded product across retailers",Yes,Yes,Yes
948,llm_verify,False,Vita Coco 'The Original' vs 'Natural' are different product variants,No,Yes,Yes
949,llm_verify,True,"All Innocent Kids Strawberry Raspberry & Apple Smoothies 600ml total, pack count irrelevant to Q1",Yes,Yes,Yes
953,llm_verify,False,Innocent 'Invigorate' vs 'Revitalise' are different Super Smoothie variants,No,Yes,Yes
956,llm_verify,False,Innocent 'Blue Spark' vs 'Blueberry' are different product variants,No,Yes,Yes
